"","top_hit","gene_id","length.x","evalue","bitscore","simMean","uniprotkb_entry","status","protein_names","gene_names","organism","kegg","GO.ID","GO_terms"
"3683","CAE7936067.1","TRINITY_DN74958_c0_g1_i1",101,2.9e-43,186,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3684","CAE7936472.1","TRINITY_DN43467_c0_g4_i1",251,2.2e-51,213.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3685","CAE7936538.1","TRINITY_DN57795_c0_g1_i1",952,7.4e-110,408.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3686","CAE7936600.1","TRINITY_DN69278_c0_g1_i1",360,1.4e-191,679.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3687","CAE7936628.1","TRINITY_DN63814_c0_g1_i1",144,3.2e-78,302,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3688","CAE7936662.1","TRINITY_DN55679_c0_g1_i1",201,6e-87,331.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3689","CAE7937042.1","TRINITY_DN65015_c0_g1_i1",549,0,1109,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3690","CAE7937088.1","TRINITY_DN66424_c0_g1_i1",845,0,1491.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3691","CAE7937132.1","TRINITY_DN52306_c0_g1_i1",192,2.2e-102,382.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3692","CAE7937536.1","TRINITY_DN24330_c0_g1_i2",568,3.2e-304,1054.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3693","CAE7937623.1","TRINITY_DN51549_c0_g1_i1",615,2e-291,1012.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3694","CAE7937806.1","TRINITY_DN20149_c0_g2_i1",266,8.5e-49,205.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3695","CAE7937871.1","TRINITY_DN18339_c0_g3_i1",624,1.8e-297,1032.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3696","CAE7937987.1","TRINITY_DN51602_c0_g1_i1",338,1.8e-130,476.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3697","CAE7937988.1","TRINITY_DN38011_c0_g2_i1",359,1e-204,723.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3698","CAE7937995.1","TRINITY_DN69439_c0_g1_i1",348,2.7e-132,483.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3699","CAE7938070.1","TRINITY_DN56314_c0_g1_i1",277,2.5e-154,555.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3700","CAE7938079.1","TRINITY_DN71748_c0_g1_i1",390,7.4e-223,783.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3701","CAE7938149.1","TRINITY_DN54028_c0_g1_i1",386,1.8e-227,799.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3702","CAE7938151.1","TRINITY_DN13037_c0_g1_i1",512,3.4e-287,998,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3703","CAE7938265.1","TRINITY_DN12012_c0_g1_i1",594,0,1196.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3704","CAE7938272.1","TRINITY_DN61753_c0_g1_i1",274,1.5e-149,540.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3705","CAE7938335.1","TRINITY_DN72362_c0_g1_i1",141,2e-76,295.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3706","CAE7938407.1","TRINITY_DN64377_c0_g1_i1",119,6.4e-50,207.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3707","CAE7938456.1","TRINITY_DN55718_c0_g1_i1",493,1.2e-278,969.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3708","CAE7938474.1","TRINITY_DN46311_c0_g1_i1",936,0,1699.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3709","CAE7938507.1","TRINITY_DN13799_c0_g1_i1",486,1.2e-288,1003,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3710","CAE7938509.1","TRINITY_DN63434_c0_g1_i1",431,1.7e-227,799.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3711","CAE7938515.1","TRINITY_DN68240_c0_g1_i1",291,1.3e-165,593.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3712","CAE7938536.1","TRINITY_DN57411_c0_g1_i1",297,5.8e-168,601.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3713","CAE7938552.1","TRINITY_DN62905_c0_g1_i1",364,1.4e-203,719.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3714","CAE7938605.1","TRINITY_DN61615_c0_g1_i1",183,1.9e-95,359.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3715","CAE7938627.1","TRINITY_DN61735_c0_g1_i1",776,0,1477.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3716","CAE7938648.1","TRINITY_DN55001_c0_g1_i1",190,8.9e-100,374,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3717","CAE7938714.1","TRINITY_DN61148_c0_g1_i1",361,6.5e-197,697.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3718","CAE7938731.1","TRINITY_DN51707_c0_g1_i1",242,2.5e-130,475.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3719","CAE7938756.1","TRINITY_DN11941_c0_g1_i1",488,5e-262,914.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3720","CAE7938788.1","TRINITY_DN71422_c0_g1_i1",483,4.3e-273,951,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3721","CAE7938806.1","TRINITY_DN71847_c0_g1_i1",330,5.8e-193,684.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3722","CAE7938867.1","TRINITY_DN32397_c0_g1_i1",255,4.6e-124,454.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3723","CAE7938905.1","TRINITY_DN53351_c0_g1_i1",177,1e-91,347.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3724","CAE7938987.1","TRINITY_DN27811_c0_g1_i1",491,6.3e-272,947.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3725","CAE7938997.1","TRINITY_DN17060_c0_g3_i1",78,9.8e-34,155.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3726","CAE7939057.1","TRINITY_DN36265_c0_g1_i1",335,1.1e-131,480.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3727","CAE7939077.1","TRINITY_DN14305_c0_g1_i2",336,6.3e-155,558.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3728","CAE7939187.1","TRINITY_DN53702_c0_g1_i1",475,7.9e-261,910.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3729","CAE7939275.1","TRINITY_DN12370_c0_g2_i1",167,6.2e-88,334.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3730","CAE7939285.1","TRINITY_DN16413_c0_g1_i1",372,8.8e-196,694.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3731","CAE7939334.1","TRINITY_DN51007_c0_g1_i1",219,3.7e-111,412.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3732","CAE7939350.1","TRINITY_DN62502_c0_g1_i1",473,6.8e-263,917.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3733","CAE7939377.1","TRINITY_DN30681_c0_g1_i1",391,4.8e-216,761.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3734","CAE7939471.1","TRINITY_DN11584_c0_g2_i3",210,1.3e-110,410.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3735","CAE7939481.1","TRINITY_DN54371_c0_g1_i1",846,0,1515,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3736","CAE7939484.1","TRINITY_DN51675_c0_g1_i1",401,1.4e-226,796.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3737","CAE7939528.1","TRINITY_DN63721_c0_g1_i1",65,2.4e-29,139,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3738","CAE7939578.1","TRINITY_DN53714_c0_g1_i1",1026,0,1923.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3739","CAE7939629.1","TRINITY_DN18246_c0_g1_i1",611,0,1164.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3740","CAE7939683.1","TRINITY_DN54795_c0_g1_i1",624,0,1253,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3741","CAE7939686.1","TRINITY_DN70719_c0_g1_i1",608,5e-290,1007.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3742","CAE7939716.1","TRINITY_DN17591_c0_g1_i1",117,5.7e-52,214.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3743","CAE7939722.1","TRINITY_DN62237_c0_g1_i1",288,1.2e-157,566.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3744","CAE7939723.1","TRINITY_DN71489_c0_g1_i1",413,5.2e-233,817.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3745","CAE7939728.1","TRINITY_DN18897_c0_g4_i1",86,6e-24,122.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3746","CAE7939778.1","TRINITY_DN50837_c0_g1_i1",290,2.7e-154,555.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3747","CAE7939807.1","TRINITY_DN61095_c0_g1_i1",746,0,1424.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3748","CAE7939814.1","TRINITY_DN65811_c0_g1_i1",615,0,1272.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3749","CAE7939856.1","TRINITY_DN72205_c0_g1_i1",154,1e-79,308.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3750","CAE7939939.1","TRINITY_DN52559_c0_g1_i1",476,5.7e-251,877.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3751","CAE7939991.1","TRINITY_DN66396_c0_g1_i1",166,5.2e-91,344.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3752","CAE7940015.1","TRINITY_DN13139_c0_g1_i1",278,1.5e-155,560.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3753","CAE7940030.1","TRINITY_DN46417_c0_g1_i1",514,8.2e-281,976.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3754","CAE7940047.1","TRINITY_DN73668_c0_g1_i1",325,5.1e-183,651.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3755","CAE7940095.1","TRINITY_DN53954_c0_g1_i1",291,4.1e-173,618.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3756","CAE7940181.1","TRINITY_DN66235_c0_g1_i1",585,0,1144,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3757","CAE7940315.1","TRINITY_DN17167_c0_g1_i1",288,1.3e-157,567,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3758","CAE7940366.1","TRINITY_DN50196_c0_g1_i1",1167,0,1158.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3759","CAE7940397.1","TRINITY_DN75016_c0_g1_i1",79,3.7e-39,172.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3760","CAE7940529.1","TRINITY_DN44302_c0_g2_i1",552,0,1096.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3761","CAE7940552.1","TRINITY_DN68719_c0_g1_i1",168,4.7e-89,338.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3762","CAE7940658.1","TRINITY_DN11238_c0_g1_i1",354,1.9e-215,759.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3763","CAE7940664.1","TRINITY_DN70260_c0_g1_i1",868,9.6e-250,873.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3764","CAE7940666.1","TRINITY_DN37578_c0_g1_i2",153,2e-81,313.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3765","CAE7940695.1","TRINITY_DN60556_c0_g1_i1",473,1.6e-272,949.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3766","CAE7940698.1","TRINITY_DN60736_c0_g1_i1",246,4e-139,505,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3767","CAE7940759.1","TRINITY_DN49191_c0_g1_i1",564,0,1155.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3768","CAE7940822.1","TRINITY_DN34853_c0_g1_i1",117,8e-54,221.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3769","CAE7940940.1","TRINITY_DN12525_c0_g1_i1",230,2.6e-65,260,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3770","CAE7941017.1","TRINITY_DN44205_c0_g1_i1",41,4e-08,68.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3771","CAE7941020.1","TRINITY_DN54862_c0_g1_i1",94,9.7e-49,203.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3772","CAE7941091.1","TRINITY_DN31382_c0_g1_i1",646,0,1343.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3773","CAE7941148.1","TRINITY_DN51642_c0_g1_i1",391,2.9e-216,761.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3774","CAE7941203.1","TRINITY_DN47671_c0_g1_i1",425,1.6e-237,832.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3775","CAE7941204.1","TRINITY_DN64634_c0_g1_i1",281,1.2e-147,533.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3776","CAE7941256.1","TRINITY_DN68237_c0_g1_i1",668,2.2e-275,959.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3777","CAE7941290.1","TRINITY_DN65391_c0_g1_i1",768,0,1515.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3778","CAE7941337.1","TRINITY_DN57163_c0_g1_i1",384,7.8e-203,717.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3779","CAE7941444.1","TRINITY_DN63084_c0_g1_i1",147,4.4e-67,265.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3780","CAE7941605.1","TRINITY_DN31651_c0_g1_i2",319,2.7e-144,522.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3781","CAE7941609.1","TRINITY_DN20149_c0_g1_i1",192,1.1e-37,167.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3782","CAE7941654.1","TRINITY_DN17744_c0_g1_i1",180,1.6e-78,303.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3783","CAE7941681.1","TRINITY_DN46239_c0_g1_i1",1917,0,3546.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3784","CAE7941713.1","TRINITY_DN58850_c0_g1_i1",115,3.6e-63,251.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3785","CAE7941735.1","TRINITY_DN55819_c0_g1_i1",387,2.7e-214,755.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3786","CAE7941740.1","TRINITY_DN62698_c0_g1_i1",645,0,1169.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3787","CAE7941746.1","TRINITY_DN55076_c0_g1_i1",491,8.8e-296,1027.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3788","CAE7941808.1","TRINITY_DN74837_c0_g1_i1",245,1.1e-112,417.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3789","CAE7941812.1","TRINITY_DN46747_c0_g1_i1",492,1.1e-253,886.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3790","CAE7941846.1","TRINITY_DN68759_c0_g1_i1",334,1.4e-190,676.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3791","CAE7941847.1","TRINITY_DN47024_c0_g1_i1",192,1.3e-102,383.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3792","CAE7941849.1","TRINITY_DN69186_c0_g1_i1",148,3.7e-77,298.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3793","CAE7941946.1","TRINITY_DN70822_c0_g1_i1",177,6.1e-94,354.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3794","CAE7941964.1","TRINITY_DN51589_c0_g1_i1",258,2.3e-147,532.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3795","CAE7942004.1","TRINITY_DN66207_c0_g1_i1",228,6.2e-103,384.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3796","CAE7942007.1","TRINITY_DN25720_c0_g2_i1",478,3.4e-261,911.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3797","CAE7942079.1","TRINITY_DN23315_c0_g1_i2",340,1.3e-158,570.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3798","CAE7942105.1","TRINITY_DN55467_c0_g1_i1",574,0,1103.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3799","CAE7942172.1","TRINITY_DN46125_c0_g1_i1",274,8.6e-95,358.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3800","CAE7942265.1","TRINITY_DN14271_c0_g1_i1",504,8e-245,857.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3801","CAE7942297.1","TRINITY_DN45362_c0_g2_i1",782,0,1468.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3802","CAE7942316.1","TRINITY_DN74030_c0_g1_i1",228,8.6e-130,473.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3803","CAE7942351.1","TRINITY_DN46649_c0_g1_i1",486,2.7e-245,858.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3804","CAE7942354.1","TRINITY_DN31159_c0_g2_i1",802,0,1526.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3805","CAE7942379.1","TRINITY_DN40442_c0_g2_i1",1113,0,1946,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3806","CAE7942409.1","TRINITY_DN23022_c0_g1_i2",284,8e-162,581.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3807","CAE7942438.1","TRINITY_DN64594_c0_g1_i1",401,2.2e-231,812.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3808","CAE7942443.1","TRINITY_DN65323_c0_g1_i1",405,6.1e-235,823.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3809","CAE7942598.1","TRINITY_DN18952_c0_g1_i1",121,1.2e-60,243.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3810","CAE7942627.1","TRINITY_DN64097_c0_g1_i1",119,9.3e-59,236.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3811","CAE7942772.1","TRINITY_DN67545_c0_g1_i1",359,8.4e-163,584.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3812","CAE7942819.1","TRINITY_DN31279_c0_g1_i1",840,0,1658.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3813","CAE7942835.1","TRINITY_DN33618_c0_g1_i1",127,2.3e-63,252.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3814","CAE7942835.1","TRINITY_DN33618_c0_g5_i1",171,1.5e-89,339.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3815","CAE7942866.1","TRINITY_DN71444_c0_g1_i1",483,3.9e-269,937.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3816","CAE7942936.1","TRINITY_DN22292_c0_g1_i1",62,1.7e-21,113.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3817","CAE7942966.1","TRINITY_DN13314_c0_g1_i1",173,3.1e-89,339,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3818","CAE7943053.1","TRINITY_DN71608_c0_g1_i1",398,2.3e-217,765.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3819","CAE7943120.1","TRINITY_DN46210_c0_g1_i1",574,0,1093.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3820","CAE7943124.1","TRINITY_DN46843_c0_g1_i1",434,1.4e-140,510.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3821","CAE7943126.1","TRINITY_DN49619_c0_g1_i1",633,0,1309.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3822","CAE7943140.1","TRINITY_DN27267_c0_g2_i1",163,1e-84,323.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3823","CAE7943193.1","TRINITY_DN70708_c0_g1_i1",434,2.4e-235,825.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3824","CAE7943241.1","TRINITY_DN55720_c0_g1_i1",1044,0,1943.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3825","CAE7943261.1","TRINITY_DN69157_c0_g1_i1",71,4.5e-30,141.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3826","CAE7943305.1","TRINITY_DN64681_c0_g1_i1",215,4.3e-89,340.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3827","CAE7943335.1","TRINITY_DN71246_c0_g1_i1",202,2.6e-109,406.4,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3828","CAE7943405.1","TRINITY_DN43686_c0_g1_i1",135,1.5e-62,250,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3829","CAE7943465.1","TRINITY_DN26620_c0_g3_i1",377,1.2e-227,799.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3830","CAE7943476.1","TRINITY_DN11066_c0_g1_i1",279,1.2e-158,570.1,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3831","CAE7943490.1","TRINITY_DN41621_c0_g1_i1",161,1.4e-87,333.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3832","CAE7943624.1","TRINITY_DN67708_c0_g1_i1",209,1.3e-77,301.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3833","CAE7943647.1","TRINITY_DN12067_c0_g1_i1",406,8.9e-227,797,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3834","CAE7943748.1","TRINITY_DN60649_c0_g1_i1",602,0,1191.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3835","CAE7943763.1","TRINITY_DN66057_c0_g1_i1",643,0,1271.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3836","CAE7943778.1","TRINITY_DN48475_c0_g1_i1",599,0,1220.3,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3837","CAE7943799.1","TRINITY_DN53385_c0_g1_i1",520,0,1108.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3838","CAE7943800.1","TRINITY_DN53355_c0_g1_i1",598,0,1203,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3839","CAE7943863.1","TRINITY_DN25019_c0_g1_i2",257,1.6e-119,439.9,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3840","CAE7943871.1","TRINITY_DN59413_c0_g1_i1",264,4e-153,552,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3841","CAE7943937.1","TRINITY_DN69215_c0_g1_i1",274,2.6e-134,489.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3842","CAE7944006.1","TRINITY_DN20507_c0_g5_i1",158,5.2e-09,72,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3843","CAE7944038.1","TRINITY_DN71235_c0_g1_i1",81,8.9e-37,164.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3844","CAE7944068.1","TRINITY_DN33366_c0_g1_i1",394,2.2e-220,775.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3845","CAE7944173.1","TRINITY_DN54527_c0_g1_i1",121,8.1e-56,227.6,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3846","CAE7944281.1","TRINITY_DN62745_c0_g1_i1",222,2.8e-118,436,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3847","CAE7944331.1","TRINITY_DN50188_c0_g1_i1",474,2.1e-229,806.2,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3848","CAE7944370.1","TRINITY_DN68327_c0_g1_i1",545,6.2e-306,1070.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3849","CAE7944377.1","TRINITY_DN68025_c0_g1_i1",317,2.1e-171,612.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3850","CAE7944382.1","TRINITY_DN66707_c0_g1_i1",315,8.8e-182,647.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3851","CAE7944424.1","TRINITY_DN72112_c0_g1_i1",505,1.7e-283,985.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3852","CAE7944431.1","TRINITY_DN26084_c0_g1_i1",250,4.1e-131,478.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3853","CAE7944474.1","TRINITY_DN24786_c0_g2_i1",416,1.4e-187,666.8,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3854","CAE7944500.1","TRINITY_DN48596_c0_g1_i1",441,7.1e-249,870.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3855","CAE7944623.1","TRINITY_DN47218_c0_g1_i1",392,3.3e-224,788.5,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3856","CAE7944661.1","TRINITY_DN17171_c0_g1_i2",151,4.1e-74,289.7,NA,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
