"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes"
"136","muscle system process","GO:0003012","GO:0014728",0.012138258484023,1,1,1,"regulation of the force of skeletal muscle contraction","BP",1,"Pver_g8105"
"137","muscle system process","GO:0003012","GO:0030049",0.0243423268626165,0.999801094755697,1,3,"muscle filament sliding","BP",1,"Pver_g6661, Pver_g8105, Pver_g26488"
"138","muscle system process","GO:0003012","GO:0031449",0.012138258484023,1,1,1,"regulation of slow-twitch skeletal muscle fiber contraction","BP",1,"Pver_g8105"
"139","nervous system process","GO:0050877","GO:0050909",0.0223278026406943,0.998450350590586,2,23,"sensory perception of taste","BP",1,"Pver_g82, Pver_g899, Pver_g3913, Pver_g5947, Pver_g5949, Pver_g7598, Pver_g9784, Pver_g11090, Pver_g15069, Pver_g15330, Pver_g16081, Pver_g18253, Pver_g21487, Pver_g23173, Pver_g24031, Pver_g25107, Pver_g26304, Pver_g5488, Pver_g5489, Pver_g9202, Pver_g9204, Pver_g12489, Pver_g13561"
"140","organelle","GO:0043226","GO:0000808",0.0460312362703803,0.999192908058522,1,4,"origin recognition complex","CC",1,"Pver_g16605, Pver_g4047, Pver_g5660, Pver_g8854"
"141","organelle","GO:0043226","GO:0005640",0.0416082735346487,0.999341815333054,1,4,"nuclear outer membrane","CC",1,"Pver_g1484, Pver_g3836, Pver_g15539, Pver_g15943"
"142","organelle","GO:0043226","GO:0005680",0.0159721074735391,0.999085054549868,2,19,"anaphase-promoting complex","CC",1,"Pver_g335, Pver_g630, Pver_g759, Pver_g939, Pver_g1391, Pver_g5727, Pver_g5996, Pver_g6353, Pver_g6873, Pver_g8833, Pver_g9360, Pver_g9424, Pver_g15862, Pver_g17431, Pver_g17444, Pver_g26210, Pver_novel_model_662_5de57afd, Pver_g22857, Pver_g24759, Pver_g1940"
"143","organelle","GO:0043226","GO:0005743",0.0464832512459911,0.98614115942753,5,200,"mitochondrial inner membrane","CC",1,"Pver_g469, Pver_g483, Pver_g521, Pver_g567, Pver_g618, Pver_g830, Pver_g831, Pver_g996, Pver_g1019, Pver_g1086, Pver_g1150, Pver_g1331, Pver_g1343, Pver_g1360, Pver_g1377, Pver_g1662, Pver_g1795, Pver_g1842, Pver_g1885, Pver_g2028, Pver_g2079, Pver_g2220, Pver_g2325, Pver_g2404, Pver_g2726, Pver_g2802, Pver_g2828, Pver_g2829, Pver_g2838, Pver_g2905, Pver_g2985, Pver_g3019, Pver_g3020, Pver_g3022, Pver_g3025, Pver_g3112, Pver_g3133, Pver_g3142, Pver_g3250, Pver_g3398, Pver_g3460, Pver_g3757, Pver_g3981, Pver_g4249, Pver_g4251, Pver_g4361, Pver_g4380, Pver_g4402, Pver_g4562, Pver_g4570, Pver_g4652, Pver_g4728, Pver_g5028, Pver_g5152, Pver_g5299, Pver_g5579, Pver_g5781, Pver_g5867, Pver_g6126, Pver_g6205, Pver_g6311, Pver_g6483, Pver_g6828, Pver_g7058, Pver_g7229, Pver_g7326, Pver_g7399, Pver_g7474, Pver_g7488, Pver_g7580, Pver_g7581, Pver_g7887, Pver_g7982, Pver_g8101, Pver_g8111, Pver_g8248, Pver_g8399, Pver_g8415, Pver_g8799, Pver_g8930, Pver_g8989, Pver_g9025, Pver_g9085, Pver_g9120, Pver_g9155, Pver_g9373, Pver_g9817, Pver_g9905, Pver_g10149, Pver_g10236, Pver_g10483, Pver_g10507, Pver_g10508, Pver_g10646, Pver_g10777, Pver_g11127, Pver_g11188, Pver_g11190, Pver_g11527, Pver_g11579, Pver_g11725, Pver_g12141, Pver_g12170, Pver_g12172, Pver_g12243, Pver_g12439, Pver_g12491, Pver_g12630, Pver_g12819, Pver_g13118, Pver_g13151, Pver_g13207, Pver_g13332, Pver_g13335, Pver_g13351, Pver_g13964, Pver_g14186, Pver_g14240, Pver_g14247, Pver_g14276, Pver_g14490, Pver_g14766, Pver_g14831, Pver_g14862, Pver_g14898, Pver_g14926, Pver_g15184, Pver_g15185, Pver_g15383, Pver_g15473, Pver_g15535, Pver_g15564, Pver_g15657, Pver_g15934, Pver_g15952, Pver_g15978, Pver_g16281, Pver_g16450, Pver_g16658, Pver_g16784, Pver_g17134, Pver_g17379, Pver_g17430, Pver_g17660, Pver_g17680, Pver_g17728, Pver_g17810, Pver_g18046, Pver_g18055, Pver_g18082, Pver_g18112, Pver_g18340, Pver_g18516, Pver_g18755, Pver_g18907, Pver_g18971, Pver_g19242, Pver_g19939, Pver_g20107, Pver_g21348, Pver_g21912, Pver_g22887, Pver_g22974, Pver_g23186, Pver_g23232, Pver_g23353, Pver_g23843, Pver_g24035, Pver_g24756, Pver_g25873, Pver_g25876, Pver_g25933, Pver_g26146, Pver_g26149, Pver_g26406, Pver_novel_model_235_5de57afd, Pver_novel_model_561_5de57afd, Pver_novel_model_788_5de57afd, Pver_g2166, Pver_g2641, Pver_g3345, Pver_g6919, Pver_g8878, Pver_g9115, Pver_g9340, Pver_g9968, Pver_g10832, Pver_g11962, Pver_g14562, Pver_g16415, Pver_g17657, Pver_g19169, Pver_g161, Pver_g845, Pver_g4224, Pver_g5083, Pver_g16802, Pver_g17876, Pver_g19612, Pver_g12919, Pver_g17816, Pver_g21024, Pver_g21036, Pver_g22033"
"144","organelle","GO:0043226","GO:0005789",0.0327134577510015,0.986869783792768,9,440,"endoplasmic reticulum membrane","CC",1,"Pver_g75, Pver_g94, Pver_g100, Pver_g313, Pver_g369, Pver_g376, Pver_g407, Pver_g419, Pver_g502, Pver_g560, Pver_g578, Pver_g702, Pver_g848, Pver_g887, Pver_g888, Pver_g895, Pver_g1099, Pver_g1147, Pver_g1273, Pver_g1343, Pver_g1373, Pver_g1375, Pver_g1376, Pver_g1676, Pver_g1706, Pver_g1819, Pver_g1860, Pver_g1871, Pver_g1877, Pver_g1891, Pver_g1911, Pver_g1912, Pver_g1917, Pver_g1927, Pver_g1929, Pver_g2034, Pver_g2052, Pver_g2055, Pver_g2076, Pver_g2094, Pver_g2096, Pver_g2144, Pver_g2172, Pver_g2175, Pver_g2233, Pver_g2353, Pver_g2356, Pver_g2451, Pver_g2518, Pver_g2554, Pver_g2589, Pver_g2604, Pver_g2613, Pver_g2732, Pver_g2783, Pver_g2829, Pver_g2857, Pver_g2886, Pver_g2903, Pver_g2963, Pver_g3245, Pver_g3251, Pver_g3324, Pver_g3328, Pver_g3411, Pver_g3432, Pver_g3487, Pver_g3566, Pver_g3681, Pver_g3745, Pver_g3836, Pver_g3872, Pver_g3975, Pver_g3976, Pver_g4198, Pver_g4380, Pver_g4386, Pver_g4388, Pver_g4420, Pver_g4570, Pver_g4633, Pver_g4645, Pver_g4724, Pver_g4739, Pver_g4751, Pver_g4809, Pver_g4865, Pver_g4870, Pver_g4872, Pver_g4964, Pver_g5028, Pver_g5037, Pver_g5047, Pver_g5048, Pver_g5085, Pver_g5089, Pver_g5111, Pver_g5166, Pver_g5173, Pver_g5262, Pver_g5267, Pver_g5355, Pver_g5396, Pver_g5422, Pver_g5440, Pver_g5502, Pver_g5510, Pver_g5622, Pver_g5661, Pver_g5701, Pver_g5724, Pver_g5730, Pver_g5733, Pver_g5823, Pver_g5863, Pver_g6058, Pver_g6195, Pver_g6215, Pver_g6325, Pver_g6409, Pver_g6411, Pver_g6426, Pver_g6521, Pver_g6636, Pver_g6676, Pver_g6694, Pver_g6870, Pver_g6915, Pver_g6941, Pver_g7111, Pver_g7112, Pver_g7215, Pver_g7362, Pver_g7597, Pver_g7613, Pver_g7654, Pver_g7700, Pver_g7858, Pver_g7938, Pver_g7987, Pver_g8030, Pver_g8108, Pver_g8118, Pver_g8151, Pver_g8190, Pver_g8229, Pver_g8306, Pver_g8358, Pver_g8361, Pver_g8386, Pver_g8587, Pver_g8660, Pver_g8875, Pver_g8890, Pver_g8927, Pver_g8947, Pver_g8962, Pver_g9029, Pver_g9128, Pver_g9136, Pver_g9227, Pver_g9241, Pver_g9283, Pver_g9326, Pver_g9521, Pver_g9522, Pver_g9549, Pver_g9568, Pver_g9733, Pver_g9755, Pver_g9778, Pver_g9816, Pver_g9818, Pver_g9872, Pver_g9878, Pver_g9881, Pver_g10225, Pver_g10486, Pver_g10547, Pver_g10569, Pver_g10691, Pver_g10692, Pver_g10827, Pver_g10871, Pver_g10911, Pver_g10926, Pver_g11079, Pver_g11163, Pver_g11180, Pver_g11203, Pver_g11258, Pver_g11360, Pver_g11409, Pver_g11411, Pver_g11464, Pver_g11497, Pver_g11514, Pver_g11545, Pver_g11664, Pver_g11670, Pver_g11748, Pver_g11749, Pver_g11880, Pver_g12029, Pver_g12036, Pver_g12058, Pver_g12059, Pver_g12060, Pver_g12144, Pver_g12151, Pver_g12248, Pver_g12285, Pver_g12312, Pver_g12322, Pver_g12328, Pver_g12334, Pver_g12541, Pver_g12572, Pver_g12599, Pver_g12781, Pver_g12824, Pver_g12882, Pver_g12972, Pver_g13042, Pver_g13094, Pver_g13154, Pver_g13207, Pver_g13407, Pver_g13522, Pver_g13694, Pver_g13755, Pver_g13806, Pver_g13812, Pver_g13901, Pver_g13932, Pver_g14003, Pver_g14016, Pver_g14047, Pver_g14081, Pver_g14153, Pver_g14186, Pver_g14239, Pver_g14246, Pver_g14368, Pver_g14461, Pver_g14589, Pver_g14691, Pver_g14745, Pver_g14796, Pver_g14863, Pver_g14896, Pver_g14991, Pver_g14992, Pver_g15021, Pver_g15138, Pver_g15139, Pver_g15141, Pver_g15169, Pver_g15234, Pver_g15283, Pver_g15327, Pver_g15343, Pver_g15639, Pver_g15641, Pver_g15654, Pver_g15655, Pver_g15656, Pver_g15783, Pver_g15784, Pver_g15790, Pver_g15846, Pver_g15965, Pver_g15975, Pver_g16023, Pver_g16123, Pver_g16147, Pver_g16160, Pver_g16226, Pver_g16243, Pver_g16291, Pver_g16450, Pver_g16610, Pver_g16737, Pver_g16754, Pver_g16755, Pver_g16785, Pver_g16786, Pver_g16958, Pver_g16969, Pver_g17091, Pver_g17093, Pver_g17180, Pver_g17273, Pver_g17321, Pver_g17376, Pver_g17386, Pver_g17438, Pver_g17494, Pver_g17559, Pver_g17582, Pver_g17583, Pver_g17659, Pver_g17676, Pver_g17709, Pver_g17716, Pver_g17742, Pver_g18215, Pver_g18358, Pver_g18574, Pver_g18576, Pver_g18630, Pver_g18679, Pver_g18700, Pver_g18702, Pver_g18778, Pver_g18797, Pver_g18800, Pver_g18877, Pver_g18973, Pver_g19005, Pver_g19006, Pver_g19008, Pver_g19044, Pver_g19083, Pver_g19102, Pver_g19269, Pver_g19542, Pver_g19829, Pver_g19863, Pver_g19915, Pver_g20012, Pver_g20031, Pver_g20049, Pver_g20403, Pver_g20441, Pver_g20521, Pver_g20556, Pver_g20736, Pver_g20799, Pver_g20833, Pver_g20945, Pver_g20974, Pver_g21041, Pver_g21068, Pver_g21072, Pver_g21174, Pver_g21220, Pver_g21222, Pver_g21306, Pver_g21455, Pver_g21458, Pver_g21564, Pver_g21633, Pver_g21752, Pver_g21780, Pver_g21813, Pver_g21838, Pver_g21870, Pver_g21895, Pver_g21912, Pver_g21945, Pver_g21986, Pver_g22013, Pver_g22058, Pver_g22061, Pver_g22077, Pver_g22214, Pver_g22292, Pver_g22356, Pver_g22427, Pver_g22450, Pver_g22553, Pver_g22557, Pver_g22577, Pver_g22685, Pver_g22694, Pver_g22747, Pver_g22748, Pver_g22749, Pver_g22805, Pver_g22809, Pver_g22970, Pver_g23053, Pver_g23227, Pver_g23357, Pver_g23484, Pver_g23619, Pver_g23635, Pver_g23668, Pver_g23881, Pver_g23890, Pver_g23996, Pver_g24109, Pver_g24118, Pver_g24260, Pver_g24398, Pver_g24617, Pver_g25037, Pver_g25110, Pver_g25265, Pver_g25320, Pver_g25449, Pver_g25460, Pver_g25470, Pver_g25535, Pver_g25683, Pver_g25760, Pver_g25825, Pver_g25876, Pver_g26017, Pver_g26047, Pver_g26084, Pver_g26085, Pver_g26096, Pver_g26146, Pver_g26335, Pver_g26407, Pver_g26414, Pver_g26496, Pver_g26544, Pver_g26546, Pver_g26554, Pver_g26660, Pver_novel_model_373_5de57afd, Pver_novel_model_601_5de57afd, Pver_novel_model_620_5de57afd, Pver_novel_model_625_5de57afd, Pver_novel_model_635_5de57afd, Pver_novel_model_751_5de57afd, Pver_novel_model_758_5de57afd, Pver_split_gene_g499-g499, Pver_g4796, Pver_g7116, Pver_g8458, Pver_g10635, Pver_g16548, Pver_novel_model_439_5de57afd, Pver_g2071, Pver_g2296, Pver_g4934, Pver_g7235, Pver_g8456, Pver_g9327, Pver_g11145, Pver_g14312, Pver_g17842, Pver_g18115, Pver_g24446, Pver_g8084, Pver_g18237"
"145","organelle","GO:0043226","GO:0034455",0.0241233277692679,0.99985330820832,1,2,"t-UTP complex","CC",1,"Pver_g6577, Pver_g8459"
"146","organelle","GO:0043226","GO:0042151",0.0413177504458941,0.992700514560187,3,88,"nematocyst","CC",1,"Pver_g121, Pver_g122, Pver_g4346, Pver_g11024, Pver_g11363, Pver_g11819, Pver_g12358, Pver_g12442, Pver_g12443, Pver_g16112, Pver_g16580, Pver_g17643, Pver_g18038, Pver_g18039, Pver_g18040, Pver_g18041, Pver_g18042, Pver_g18749, Pver_g23506, Pver_g24253, Pver_g25967, Pver_g26376, Pver_g26377, Pver_g26726, Pver_g26727, Pver_g42, Pver_g1030, Pver_g2319, Pver_g2677, Pver_g3602, Pver_g3710, Pver_g3840, Pver_g4492, Pver_g4676, Pver_g4677, Pver_g6443, Pver_g7876, Pver_g9298, Pver_g11961, Pver_g12501, Pver_g13274, Pver_g13725, Pver_g14111, Pver_g14647, Pver_g15710, Pver_g17333, Pver_g20440, Pver_g22619, Pver_g26308, Pver_g6087, Pver_g6444, Pver_g6446, Pver_g6944, Pver_g7195, Pver_g7671, Pver_g8481, Pver_g9296, Pver_g9297, Pver_g9962, Pver_g11783, Pver_g11877, Pver_g11878, Pver_g12095, Pver_g12389, Pver_g13140, Pver_g13141, Pver_g15939, Pver_g16119, Pver_g16325, Pver_g17163, Pver_g17837, Pver_g17879, Pver_g17911, Pver_g19371, Pver_g19372, Pver_g20058, Pver_g20323, Pver_g20453, Pver_g20470, Pver_g21354, Pver_g21565, Pver_g21770, Pver_g22096, Pver_g22220, Pver_g22600, Pver_g23774, Pver_g24206, Pver_g25358"
"147","organelle","GO:0043226","GO:0042589",0.0196046737057152,0.998726433551405,2,24,"zymogen granule membrane","CC",1,"Pver_g2, Pver_g5478, Pver_g5635, Pver_g5657, Pver_g9497, Pver_g11203, Pver_g14228, Pver_g15219, Pver_g16001, Pver_g16123, Pver_g18957, Pver_g19507, Pver_g19995, Pver_g20806, Pver_g21626, Pver_g21702, Pver_g21989, Pver_g22892, Pver_g23072, Pver_g23334, Pver_g23390, Pver_g23598, Pver_g26456, Pver_g26732, Pver_novel_model_225_5de57afd, Pver_novel_model_454_5de57afd"
"148","organelle","GO:0043226","GO:0098674",0.0359762333326238,0.999563224576339,1,3,"extrinsic component of neuronal dense core vesicle membrane","CC",1,"Pver_g3908, Pver_g5236, Pver_g16441"
"149","organelle","GO:0043226","GO:1990467",0.0298149899789816,0.999700860969025,1,3,"NuA3a histone acetyltransferase complex","CC",1,"Pver_g1867, Pver_g5308, Pver_g11540"
"150","organelle","GO:0043226","GO:1990468",0.0115252161709509,1,1,1,"NuA3b histone acetyltransferase complex","CC",1,"Pver_g1867"
"151","plasma membrane","GO:0005886","GO:0005892",0.0326778622009303,0.997197400148785,2,26,"acetylcholine-gated channel complex","CC",1,"Pver_g3908, Pver_g6248, Pver_g7332, Pver_g8055, Pver_g8120, Pver_g8893, Pver_g8935, Pver_g10364, Pver_g10619, Pver_g10620, Pver_g10623, Pver_g11896, Pver_g12509, Pver_g12511, Pver_g12512, Pver_g12517, Pver_g12736, Pver_g13365, Pver_g14942, Pver_g17736, Pver_g17738, Pver_g17826, Pver_g17827, Pver_novel_model_525_5de57afd, Pver_g1215, Pver_g1216, Pver_g21610"
"152","plasma membrane","GO:0005886","GO:0005899",0.012138258484023,1,1,1,"insulin receptor complex","CC",1,"Pver_g19246, Pver_novel_model_582_5de57afd"
"153","plasma membrane","GO:0005886","GO:0031362",0.013888346559591,0.999254737873199,2,21,"anchored component of external side of plasma membrane","CC",1,"Pver_g2, Pver_g1012, Pver_g5478, Pver_g5635, Pver_g5657, Pver_g9497, Pver_g14807, Pver_g15219, Pver_g16001, Pver_g18957, Pver_g19281, Pver_g19507, Pver_g19995, Pver_g21626, Pver_g21702, Pver_g21989, Pver_g22892, Pver_g23072, Pver_g23334, Pver_g23390, Pver_novel_model_225_5de57afd, Pver_novel_model_454_5de57afd, Pver_g695"
"154","plasma membrane","GO:0005886","GO:0032590",0.0359058614858559,0.996759825123088,2,26,"dendrite membrane","CC",1,"Pver_g1068, Pver_g1178, Pver_g1179, Pver_g1382, Pver_g1852, Pver_g1854, Pver_g2001, Pver_g2002, Pver_g2003, Pver_g2004, Pver_g2010, Pver_g4724, Pver_g6340, Pver_g7172, Pver_g7920, Pver_g9852, Pver_g10911, Pver_g11678, Pver_g13135, Pver_g14249, Pver_g16449, Pver_g16835, Pver_g17386, Pver_g19246, Pver_g23016, Pver_g26250"
"155","plasma membrane","GO:0005886","GO:0098855",0.012138258484023,1,1,1,"HCN channel complex","CC",1,"Pver_g7920"
"156","programmed cell death","GO:0012501","GO:1901299",0.0118321080685378,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP",1,"Pver_g542"
"157","protein catabolic process","GO:0030163","GO:0031145",0.00744620813998211,0.99972523720768,2,13,"anaphase-promoting complex-dependent catabolic process","BP",1,"Pver_g335, Pver_g630, Pver_g759, Pver_g3564, Pver_g5996, Pver_g6353, Pver_g8031, Pver_g8833, Pver_g9424, Pver_g13164, Pver_g16788, Pver_g16789, Pver_g17431"
"158","protein folding","GO:0006457","GO:1903645",0.0224243791466606,0.99987335289401,1,2,"negative regulation of chaperone-mediated protein folding","BP",1,"Pver_g14, Pver_g9914"
"159","protein maturation","GO:0051604","GO:0031638",0.0363422653401334,0.996691733059221,2,27,"zymogen activation","BP",1,"Pver_g5, Pver_g361, Pver_g2392, Pver_g4159, Pver_g4639, Pver_g4865, Pver_g8826, Pver_g9916, Pver_g10050, Pver_g10051, Pver_g10384, Pver_g11196, Pver_g11197, Pver_g12568, Pver_g12570, Pver_g13508, Pver_g13550, Pver_g16615, Pver_g16616, Pver_g17091, Pver_g18342, Pver_g18766, Pver_g19433, Pver_g19714, Pver_g20806, Pver_g24115, Pver_g26630"
"160","protein modification process","GO:0036211","GO:0008612",0.0233890474537476,0.999862154223178,1,2,"peptidyl-lysine modification to peptidyl-hypusine","BP",1,"Pver_g9083, Pver_g15382"
"161","protein modification process","GO:0036211","GO:0016574",0.00595646868847035,0.999809073239987,2,11,"histone ubiquitination","BP",1,"Pver_g735, Pver_g736, Pver_g1425, Pver_g5386, Pver_g6262, Pver_g6264, Pver_g10830, Pver_g20547, Pver_g23130, Pver_g23981, Pver_g24085"
"162","protein modification process","GO:0036211","GO:0018117",0.0487701861333068,0.999033264275471,1,5,"protein adenylylation","BP",1,"Pver_g774, Pver_g4700, Pver_g14851, Pver_g24637, Pver_g25690"
"163","protein modification process","GO:0036211","GO:0035246",0.0205561579324701,0.999893677702993,1,2,"peptidyl-arginine N-methylation","BP",1,"Pver_g1583, Pver_g18710"
"164","protein modification process","GO:0036211","GO:0035507",0.0167058982129986,0.999929914390875,1,2,"regulation of myosin-light-chain-phosphatase activity","BP",1,"Pver_g8049, Pver_g8096"
"165","protein modification process","GO:0036211","GO:1902949",0.0189833918285996,0.999909397527013,1,2,"positive regulation of tau-protein kinase activity","BP",1,"Pver_g4453, Pver_g7717"
"166","protein modification process","GO:0036211","GO:1904808",0.012138258484023,1,1,1,"positive regulation of protein oxidation","BP",1,"Pver_g7352"
"167","protein-containing complex assembly","GO:0065003","GO:0031334",0.024853121838675,0.998179454617244,2,22,"positive regulation of protein-containing complex assembly","BP",1,"Pver_g10, Pver_g456, Pver_g1505, Pver_g1540, Pver_g1596, Pver_g2368, Pver_g2856, Pver_g2868, Pver_g4232, Pver_g4387, Pver_g4494, Pver_g7352, Pver_g7353, Pver_g10709, Pver_g11094, Pver_g12603, Pver_g13168, Pver_g15654, Pver_g15656, Pver_g19097, Pver_g20554, Pver_g23283, Pver_novel_model_491_5de57afd, Pver_novel_model_601_5de57afd"
"168","protein-containing complex assembly","GO:0065003","GO:0051291",0.00194966846805742,0.999969931510716,2,6,"protein heterooligomerization","BP",1,"Pver_g846, Pver_g2640, Pver_g7570, Pver_g14739, Pver_g18056, Pver_g18546"
"169","protein-containing complex assembly","GO:0065003","GO:0070207",0.0118144443560001,0.99942501353283,2,18,"protein homotrimerization","BP",1,"Pver_g929, Pver_g1200, Pver_g2731, Pver_g2818, Pver_g3029, Pver_g4726, Pver_g5644, Pver_g10004, Pver_g16615, Pver_g16616, Pver_g19731, Pver_g20356, Pver_g21112, Pver_g23646, Pver_g23881, Pver_g23947, Pver_g24724, Pver_g26260"
"170","protein-containing complex assembly","GO:0065003","GO:1904670",0.00649223644728214,1,1,1,"actin filament polymerization involved in mitotic actomyosin contractile ring assembly","BP",1,"Pver_g9571"
"171","protein-containing complex assembly","GO:0065003","GO:2000812",0.0337713133891613,0.999567863109042,1,4,"regulation of barbed-end actin filament capping","BP",1,"Pver_g6634, Pver_g6635, Pver_g7829, Pver_g9571"
"172","reproductive process","GO:0022414","GO:0000755",0.00649223644728214,1,1,1,"cytogamy","BP",1,"Pver_g9571"
"173","reproductive process","GO:0022414","GO:0007141",0.0216263124070886,0.998539538287049,2,20,"male meiosis I","BP",1,"Pver_g1994, Pver_g4522, Pver_g5183, Pver_g7756, Pver_g10340, Pver_g10341, Pver_g10342, Pver_g10343, Pver_g10344, Pver_g11027, Pver_g11209, Pver_g12240, Pver_g12415, Pver_g14206, Pver_g14998, Pver_g15552, Pver_g15699, Pver_g16549, Pver_g23003, Pver_g26358"
"174","reproductive process","GO:0022414","GO:0040020",0.0461637069227793,0.999188209498974,1,4,"regulation of meiotic nuclear division","BP",1,"Pver_g630, Pver_g1391, Pver_g9423, Pver_g10013, Pver_novel_model_662_5de57afd"
"175","reproductive process","GO:0022414","GO:0048609",0.0071548551691393,0.999738882931492,2,14,"multicellular organismal reproductive process","BP",1,"Pver_g4041, Pver_g6069, Pver_g8415, Pver_g10629, Pver_g12634, Pver_g15100, Pver_g17822, Pver_g19928, Pver_g20061, Pver_g21571, Pver_g22737, Pver_g23244, Pver_g25876, Pver_g26362"
"176","reproductive process","GO:0022414","GO:0051446",0.0276757613159293,0.999742498625636,1,3,"positive regulation of meiotic cell cycle","BP",1,"Pver_g5294, Pver_g19246, Pver_g21793"
"177","signaling","GO:0023052","GO:0007171",0.0219926359148569,0.999878209541135,1,2,"activation of transmembrane receptor protein tyrosine kinase activity","BP",1,"Pver_g8543, Pver_g12511"
"178","signaling","GO:0023052","GO:0007185",0.0352093224574333,0.999529988394445,1,4,"transmembrane receptor protein tyrosine phosphatase signaling pathway","BP",1,"Pver_g373, Pver_g14911, Pver_g20488, Pver_g25577"
"179","signaling","GO:0023052","GO:0007264",0.00443974974309006,0.999462630771318,4,60,"small GTPase mediated signal transduction","BP",1,"Pver_g251, Pver_g969, Pver_g1330, Pver_g1656, Pver_g2182, Pver_g4420, Pver_g4854, Pver_g5256, Pver_g6628, Pver_g7703, Pver_g8563, Pver_g9385, Pver_g9425, Pver_g10432, Pver_g10437, Pver_g11279, Pver_g11409, Pver_g12831, Pver_g15025, Pver_g15654, Pver_g15656, Pver_g15943, Pver_g16820, Pver_g18683, Pver_g25786, Pver_g25822, Pver_g100, Pver_g101, Pver_g945, Pver_g4000, Pver_g4843, Pver_g5080, Pver_g5187, Pver_g5254, Pver_g5701, Pver_g7853, Pver_g7972, Pver_g8998, Pver_g9168, Pver_g9308, Pver_g9663, Pver_g9699, Pver_g13775, Pver_g15017, Pver_g15050, Pver_g15655, Pver_g15785, Pver_g17507, Pver_g17605, Pver_g17662, Pver_g17918, Pver_g18076, Pver_g22778, Pver_g23060, Pver_g23668, Pver_g25847, Pver_g26082, Pver_g26084, Pver_g26085, Pver_novel_model_601_5de57afd, Pver_g23855"
"180","signaling","GO:0023052","GO:0008286",0.00819438095543672,0.999232703527418,3,39,"insulin receptor signaling pathway","BP",1,"Pver_g764, Pver_g1389, Pver_g1509, Pver_g1626, Pver_g1670, Pver_g1861, Pver_g2467, Pver_g2915, Pver_g3082, Pver_g4375, Pver_g4420, Pver_g4635, Pver_g5053, Pver_g5711, Pver_g5784, Pver_g6352, Pver_g6651, Pver_g6744, Pver_g7104, Pver_g8541, Pver_g10340, Pver_g10341, Pver_g10342, Pver_g10343, Pver_g10344, Pver_g10345, Pver_g10558, Pver_g11207, Pver_g11630, Pver_g13135, Pver_g13168, Pver_g13897, Pver_g14771, Pver_g17406, Pver_g17636, Pver_g18864, Pver_g19246, Pver_g24541, Pver_g24924, Pver_g25970, Pver_novel_model_133_5de57afd, Pver_split_gene_g1652-g1652, Pver_novel_model_582_5de57afd"
"181","signaling","GO:0023052","GO:0009738",0.0241273615494165,0.999853258843499,1,2,"abscisic acid-activated signaling pathway","BP",1,"Pver_g13279, Pver_g18735"
"182","signaling","GO:0023052","GO:0014056",0.0115289498199163,1,1,1,"regulation of acetylcholine secretion, neurotransmission","BP",1,"Pver_g12511"
"183","signaling","GO:0023052","GO:0030178",0.00368502619545193,0.999745258530115,3,30,"negative regulation of Wnt signaling pathway","BP",1,"Pver_g1581, Pver_g2856, Pver_g3077, Pver_g3126, Pver_g3654, Pver_g3655, Pver_g4646, Pver_g5118, Pver_g5436, Pver_g5466, Pver_g6369, Pver_g7352, Pver_g7679, Pver_g7680, Pver_g7825, Pver_g8615, Pver_g11226, Pver_g11939, Pver_g12556, Pver_g13572, Pver_g14079, Pver_g15302, Pver_g18262, Pver_g18391, Pver_g3656, Pver_g4008, Pver_g4375, Pver_g13481, Pver_g18259, Pver_g1738"
"184","signaling","GO:0023052","GO:0031915",0.0475803285504332,0.999137093535578,1,4,"positive regulation of synaptic plasticity","BP",1,"Pver_g630, Pver_g939, Pver_g4776, Pver_g10867, Pver_novel_model_662_5de57afd"
"185","signaling","GO:0023052","GO:0045746",0.00592653759084053,0.999505792867394,3,40,"negative regulation of Notch signaling pathway","BP",1,"Pver_g97, Pver_g288, Pver_g354, Pver_g2049, Pver_g2249, Pver_g2250, Pver_g3838, Pver_g4013, Pver_g5229, Pver_g6259, Pver_g8771, Pver_g8852, Pver_g8938, Pver_g8939, Pver_g8940, Pver_g8957, Pver_g9354, Pver_g9593, Pver_g9649, Pver_g10243, Pver_g10797, Pver_g13044, Pver_g13893, Pver_g13899, Pver_g14844, Pver_g15715, Pver_g15977, Pver_g16188, Pver_g16214, Pver_g16622, Pver_g18444, Pver_g18850, Pver_g24432, Pver_g25968, Pver_g11247, Pver_g11835, Pver_g20943, Pver_g22145, Pver_g22190, Pver_g24030"
"186","signaling","GO:0023052","GO:0046627",0.0370617042714634,0.996583362859065,2,28,"negative regulation of insulin receptor signaling pathway","BP",1,"Pver_g316, Pver_g1966, Pver_g3156, Pver_g3389, Pver_g4569, Pver_g4570, Pver_g4571, Pver_g5239, Pver_g5500, Pver_g7673, Pver_g7787, Pver_g9614, Pver_g12375, Pver_g13370, Pver_g13712, Pver_g14272, Pver_g15701, Pver_g15943, Pver_g16315, Pver_g17154, Pver_g17881, Pver_g18302, Pver_g18479, Pver_g18620, Pver_g20488, Pver_g20611, Pver_g25577, Pver_g26210, Pver_novel_model_582_5de57afd"
