"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"278","GO:1901989",0.0121382473051431,1,1,1,"positive regulation of cell cycle phase transition","BP",1
"279","GO:1902438",0.0241297469914702,0.999853229646847,1,2,"response to vanadate(3-)","BP",1
"280","GO:1902440",0.012109129978746,1,1,1,"protein localization to mitotic spindle pole body","BP",1
"281","GO:1902680",0.0121231825826323,1,1,1,"positive regulation of RNA biosynthetic process","BP",1
"282","GO:1902766",0.0329445153860428,0.999634244780196,1,3,"skeletal muscle satellite cell migration","BP",1
"283","GO:1902871",0.00603818639895644,1,1,1,"positive regulation of amacrine cell differentiation","BP",1
"284","GO:1902949",0.0189833918284482,0.999909397527015,1,2,"positive regulation of tau-protein kinase activity","BP",1
"285","GO:1903306",0.0121382584840315,1,1,1,"negative regulation of regulated secretory pathway","BP",1
"286","GO:1903638",0.0111847497789245,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP",1
"287","GO:1903645",0.0224243791462836,0.999873352894014,1,2,"negative regulation of chaperone-mediated protein folding","BP",1
"288","GO:1903669",0.0359762333327425,0.999563224576336,1,3,"positive regulation of chemorepellent activity","BP",1
"289","GO:1903845",0.00603818639895644,1,1,1,"negative regulation of cellular response to transforming growth factor beta stimulus","BP",1
"290","GO:1903936",0.0353199817447869,0.99957914042467,1,3,"cellular response to sodium arsenite","BP",1
"291","GO:1904146",0.0120354377572095,1,1,1,"positive regulation of meiotic cell cycle process involved in oocyte maturation","BP",1
"292","GO:1904515",0.0359762333328074,0.999563224576335,1,3,"positive regulation of TORC2 signaling","BP",1
"293","GO:1904530",0.0181318186508313,0.999917379675856,1,2,"negative regulation of actin filament binding","BP",1
"294","GO:1904638",0.0439712493944943,0.999264184836673,1,4,"response to resveratrol","BP",1
"296","GO:1904670",0.00649223644734455,1,1,1,"actin filament polymerization involved in mitotic actomyosin contractile ring assembly","BP",1
"297","GO:1904751",0.0336740518624146,0.999617739078124,1,3,"positive regulation of protein localization to nucleolus","BP",1
"298","GO:1904808",0.0121382584841699,1,1,1,"positive regulation of protein oxidation","BP",1
"299","GO:1904841",0.0346944819974758,0.999594031137944,1,3,"TORC2 complex binding","MF",1
"300","GO:1990048",0.0241297469915183,0.999853229646847,1,2,"anterograde neuronal dense core vesicle transport","BP",1
"301","GO:1990049",0.0241297469915183,0.999853229646847,1,2,"retrograde neuronal dense core vesicle transport","BP",1
"302","GO:1990050",0.0479708277267844,0.999065005521866,1,5,"phosphatidic acid transfer activity","MF",1
"303","GO:1990402",0.0338788886127499,0.999613038151902,1,3,"embryonic liver development","BP",1
"304","GO:1990467",0.0298149899789954,0.999700860969025,1,3,"NuA3a histone acetyltransferase complex","CC",1
"305","GO:1990468",0.0115252161707341,1,1,1,"NuA3b histone acetyltransferase complex","CC",1
"306","GO:1990680",0.0116466054122513,1,1,1,"response to melanocyte-stimulating hormone","BP",1
"307","GO:1990811",0.012109129978746,1,1,1,"MWP complex","CC",1
"308","GO:2000194",0.0121382584841913,1,1,1,"regulation of female gonad development","BP",1
"309","GO:2000252",0.0241297469914702,0.999853229646847,1,2,"negative regulation of feeding behavior","BP",1
"310","GO:2000726",0.0468415759661968,0.999163948610886,1,4,"negative regulation of cardiac muscle cell differentiation","BP",1
"311","GO:2000812",0.0337713133891649,0.999567863109042,1,4,"regulation of barbed-end actin filament capping","BP",1
"312","GO:2000820",0.0064257429525631,1,1,1,"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation","BP",1
"313","GO:2000845",0.0354963987524118,0.999574891345484,1,3,"positive regulation of testosterone secretion","BP",1
"314","GO:2000850",0.0351315427558047,0.999583655105622,1,3,"negative regulation of glucocorticoid secretion","BP",1
"315","GO:2001033",0.0241297359476445,0.999853229782025,1,2,"negative regulation of double-strand break repair via nonhomologous end joining","BP",1
