"","seqid","source","type","start","end","score","strand","phase","gene_id","length"
"6380","Pver_Sc0000108_size590342",".","gene",485070,488033,".","-",".","Pver_g6394",2963
"6381","Pver_Sc0000108_size590342","AUGUSTUS","gene",488202,495083,".","-",".","Pver_g6395",6881
"6382","Pver_Sc0000108_size590342",".","gene",499665,507931,".","+",".","Pver_g6396",8266
"6383","Pver_Sc0000108_size590342",".","gene",509035,529073,".","-",".","Pver_g6397",20038
"6384","Pver_Sc0000108_size590342","AUGUSTUS","gene",540611,542682,".","+",".","Pver_g6398",2071
"6385","Pver_Sc0000108_size590342",".","gene",542702,548083,".","-",".","Pver_g6399",5381
"6386","Pver_Sc0000108_size590342",".","gene",549630,567343,".","-",".","Pver_g6400",17713
"6387","Pver_Sc0000108_size590342","AUGUSTUS","gene",569951,590283,".","-",".","Pver_g6401",20332
"6388","Pver_Sc0000109_size583270","AUGUSTUS","gene",1918,11050,".","+",".","Pver_g6402",9132
"6389","Pver_Sc0000109_size583270","AUGUSTUS","gene",11497,26498,".","-",".","Pver_g6403",15001
"6390","Pver_Sc0000109_size583270","AUGUSTUS","gene",34721,38328,".","-",".","Pver_g6404",3607
"6391","Pver_Sc0000109_size583270","AUGUSTUS","gene",46276,48325,".","+",".","Pver_g6405",2049
"6392","Pver_Sc0000109_size583270","AUGUSTUS","gene",64486,66096,".","+",".","Pver_g6406",1610
"6393","Pver_Sc0000109_size583270",".","gene",76132,105737,".","-",".","Pver_g6407",29605
"6394","Pver_Sc0000109_size583270",".","gene",105556,110799,".","+",".","Pver_g6408",5243
"6395","Pver_Sc0000109_size583270","AUGUSTUS","gene",111628,132118,".","-",".","Pver_g6409",20490
"6396","Pver_Sc0000109_size583270","AUGUSTUS","gene",133926,136852,".","+",".","Pver_g6410",2926
"6397","Pver_Sc0000109_size583270","AUGUSTUS","gene",138912,164108,".","-",".","Pver_g6411",25196
"6398","Pver_Sc0000109_size583270","AUGUSTUS","gene",164766,170906,".","+",".","Pver_g6412",6140
"6399","Pver_Sc0000109_size583270",".","gene",179172,180644,".","+",".","Pver_g6413",1472
"6400","Pver_Sc0000109_size583270",".","gene",187065,193738,".","-",".","Pver_g6414",6673
"6401","Pver_Sc0000109_size583270","AUGUSTUS","gene",222851,262708,".","-",".","Pver_g6415",39857
"6402","Pver_Sc0000109_size583270",".","gene",269943,286878,".","-",".","Pver_g6416",16935
"6403","Pver_Sc0000109_size583270",".","gene",287426,301452,".","+",".","Pver_g6417",14026
"6404","Pver_Sc0000109_size583270",".","gene",305136,326367,".","+",".","Pver_g6418",21231
"6405","Pver_Sc0000109_size583270","AUGUSTUS","gene",332406,335526,".","+",".","Pver_g6419",3120
"6406","Pver_Sc0000109_size583270",".","gene",346739,363211,".","+",".","Pver_g6420",16472
"6407","Pver_Sc0000109_size583270",".","gene",369241,374918,".","+",".","Pver_g6421",5677
"6408","Pver_Sc0000109_size583270",".","gene",377759,501161,".","+",".","Pver_g6422",123402
"6409","Pver_Sc0000109_size583270",".","gene",508309,515539,".","+",".","Pver_g6423",7230
"6410","Pver_Sc0000109_size583270",".","gene",528449,535049,".","+",".","Pver_g6424",6600
"6411","Pver_Sc0000109_size583270","AUGUSTUS","gene",539917,555381,".","-",".","Pver_g6425",15464
"6412","Pver_Sc0000109_size583270","AUGUSTUS","gene",570779,575860,".","+",".","Pver_g6426",5081
"6413","Pver_Sc0000110_size592364",".","gene",25286,35498,".","-",".","Pver_g6427",10212
"6414","Pver_Sc0000110_size592364",".","gene",37010,39532,".","+",".","Pver_g6428",2522
"6415","Pver_Sc0000110_size592364",".","gene",90700,91938,".","-",".","Pver_g6429",1238
"6416","Pver_Sc0000110_size592364","AUGUSTUS","gene",97232,100438,".","-",".","Pver_g6430",3206
"6417","Pver_Sc0000110_size592364","AUGUSTUS","gene",112060,114078,".","-",".","Pver_g6431",2018
"6418","Pver_Sc0000110_size592364","AUGUSTUS","gene",167566,184551,".","+",".","Pver_g6432",16985
"6419","Pver_Sc0000110_size592364",".","gene",197442,201623,".","-",".","Pver_g6433",4181
"6420","Pver_Sc0000110_size592364",".","gene",201846,209861,".","+",".","Pver_g6434",8015
"6421","Pver_Sc0000110_size592364","AUGUSTUS","gene",210022,213338,".","-",".","Pver_g6435",3316
"6422","Pver_Sc0000110_size592364","AUGUSTUS","gene",213436,217325,".","+",".","Pver_g6436",3889
"6423","Pver_Sc0000110_size592364","AUGUSTUS","gene",218235,231088,".","-",".","Pver_g6437",12853
"6424","Pver_Sc0000110_size592364","AUGUSTUS","gene",241636,243537,".","+",".","Pver_g6438",1901
"6425","Pver_Sc0000110_size592364","AUGUSTUS","gene",261099,275288,".","-",".","Pver_g6439",14189
"6426","Pver_Sc0000110_size592364","AUGUSTUS","gene",278782,280508,".","-",".","Pver_g6440",1726
"6427","Pver_Sc0000110_size592364",".","gene",291609,296047,".","+",".","Pver_g6441",4438
"6428","Pver_Sc0000110_size592364","AUGUSTUS","gene",300086,315175,".","+",".","Pver_g6442",15089
"6429","Pver_Sc0000110_size592364",".","gene",317775,358208,".","-",".","Pver_g6443",40433
"6430","Pver_Sc0000110_size592364",".","gene",363158,368909,".","-",".","Pver_g6444",5751
"6431","Pver_Sc0000110_size592364",".","gene",370956,375526,".","-",".","Pver_g6445",4570
"6432","Pver_Sc0000110_size592364",".","gene",377671,381178,".","-",".","Pver_g6446",3507
"6433","Pver_Sc0000110_size592364","AUGUSTUS","gene",382483,404428,".","-",".","Pver_g6447",21945
"6434","Pver_Sc0000110_size592364",".","gene",406636,413286,".","+",".","Pver_g6448",6650
"6435","Pver_Sc0000110_size592364",".","gene",413304,416169,".","-",".","Pver_g6449",2865
"6436","Pver_Sc0000110_size592364",".","gene",416636,429676,".","+",".","Pver_g6450",13040
"6437","Pver_Sc0000110_size592364","AUGUSTUS","gene",429725,434748,".","-",".","Pver_g6451",5023
"6438","Pver_Sc0000110_size592364",".","gene",440083,447964,".","-",".","Pver_g6452",7881
"6439","Pver_Sc0000110_size592364",".","gene",448500,451424,".","+",".","Pver_g6453",2924
"6440","Pver_Sc0000110_size592364",".","gene",451842,460863,".","-",".","Pver_g6454",9021
"6441","Pver_Sc0000110_size592364","AUGUSTUS","gene",462427,471996,".","+",".","Pver_g6455",9569
"6442","Pver_Sc0000110_size592364",".","gene",471675,474842,".","+",".","Pver_g6456",3167
"6443","Pver_Sc0000110_size592364","AUGUSTUS","gene",477614,480179,".","-",".","Pver_g6457",2565
"6444","Pver_Sc0000110_size592364",".","gene",483386,490282,".","+",".","Pver_g6458",6896
"6445","Pver_Sc0000110_size592364","AUGUSTUS","gene",491092,504819,".","-",".","Pver_g6459",13727
"6446","Pver_Sc0000110_size592364","AUGUSTUS","gene",527897,533139,".","-",".","Pver_g6460",5242
"6447","Pver_Sc0000110_size592364","AUGUSTUS","gene",552077,560718,".","+",".","Pver_g6461",8641
"6448","Pver_Sc0000110_size592364","AUGUSTUS","gene",561239,582999,".","-",".","Pver_g6462",21760
"6449","Pver_Sc0000110_size592364","AUGUSTUS","gene",588837,590279,".","+",".","Pver_g6463",1442
"6450","Pver_Sc0000111_size569799","AUGUSTUS","gene",1,23648,".","-",".","Pver_g6464",23647
"6451","Pver_Sc0000111_size569799","AUGUSTUS","gene",27926,30568,".","-",".","Pver_g6465",2642
"6452","Pver_Sc0000111_size569799",".","gene",33016,37552,".","-",".","Pver_g6466",4536
"6453","Pver_Sc0000111_size569799","AUGUSTUS","gene",51746,62390,".","+",".","Pver_g6467",10644
"6454","Pver_Sc0000111_size569799",".","gene",73710,89668,".","-",".","Pver_g6468",15958
"6455","Pver_Sc0000111_size569799","AUGUSTUS","gene",99576,106713,".","+",".","Pver_g6469",7137
"6456","Pver_Sc0000111_size569799","AUGUSTUS","gene",111561,115298,".","-",".","Pver_g6470",3737
"6457","Pver_Sc0000111_size569799",".","gene",134726,144563,".","+",".","Pver_g6471",9837
"6458","Pver_Sc0000111_size569799",".","gene",147558,150138,".","-",".","Pver_g6472",2580
"6459","Pver_Sc0000111_size569799",".","gene",156259,165954,".","+",".","Pver_g6473",9695
"6460","Pver_Sc0000111_size569799",".","gene",169019,173529,".","+",".","Pver_g6474",4510
"6461","Pver_Sc0000111_size569799",".","gene",173437,180557,".","-",".","Pver_g6475",7120
"6462","Pver_Sc0000111_size569799","AUGUSTUS","gene",181476,186791,".","+",".","Pver_g6476",5315
"6463","Pver_Sc0000111_size569799",".","gene",205201,238889,".","-",".","Pver_g6477",33688
"6464","Pver_Sc0000111_size569799","AUGUSTUS","gene",242121,255788,".","-",".","Pver_g6478",13667
"6465","Pver_Sc0000111_size569799",".","gene",256113,264989,".","-",".","Pver_g6479",8876
"6466","Pver_Sc0000111_size569799",".","gene",265046,267184,".","+",".","Pver_g6480",2138
"6467","Pver_Sc0000111_size569799","AUGUSTUS","gene",273166,281656,".","+",".","Pver_g6481",8490
"6468","Pver_Sc0000111_size569799","AUGUSTUS","gene",282576,289398,".","+",".","Pver_g6482",6822
"6469","Pver_Sc0000111_size569799",".","gene",290305,298827,".","-",".","Pver_g6483",8522
"6470","Pver_Sc0000111_size569799","AUGUSTUS","gene",298896,308527,".","+",".","Pver_g6484",9631
"6471","Pver_Sc0000111_size569799",".","gene",310670,317636,".","-",".","Pver_g6485",6966
"6472","Pver_Sc0000111_size569799","AUGUSTUS","gene",320376,339193,".","+",".","Pver_g6486",18817
"6473","Pver_Sc0000111_size569799",".","gene",341248,355291,".","+",".","Pver_g6487",14043
"6474","Pver_Sc0000111_size569799",".","gene",364126,386513,".","+",".","Pver_g6488",22387
"6475","Pver_Sc0000111_size569799",".","gene",388041,395627,".","-",".","Pver_g6489",7586
"6476","Pver_Sc0000111_size569799",".","gene",408040,417122,".","+",".","Pver_g6490",9082
"6477","Pver_Sc0000111_size569799",".","gene",417761,426153,".","-",".","Pver_g6491",8392
"6478","Pver_Sc0000111_size569799","AUGUSTUS","gene",426768,431218,".","-",".","Pver_g6492",4450
"6479","Pver_Sc0000111_size569799",".","gene",456457,461928,".","+",".","Pver_g6493",5471
"6480","Pver_Sc0000111_size569799","AUGUSTUS","gene",465901,494469,".","+",".","Pver_g6494",28568
"6481","Pver_Sc0000111_size569799",".","gene",495011,496723,".","-",".","Pver_g6495",1712
"6482","Pver_Sc0000111_size569799","AUGUSTUS","gene",496931,506877,".","+",".","Pver_g6496",9946
"6483","Pver_Sc0000111_size569799","AUGUSTUS","gene",508069,515793,".","-",".","Pver_g6497",7724
"6484","Pver_Sc0000111_size569799","AUGUSTUS","gene",518741,520833,".","+",".","Pver_g6498",2092
"6485","Pver_Sc0000111_size569799","AUGUSTUS","gene",522883,525793,".","-",".","Pver_g6499",2910
"6486","Pver_Sc0000111_size569799","AUGUSTUS","gene",533231,536653,".","-",".","Pver_g6500",3422
"6487","Pver_Sc0000111_size569799","AUGUSTUS","gene",536251,548428,".","+",".","Pver_g6501",12177
"6488","Pver_Sc0000111_size569799",".","gene",549131,559522,".","-",".","Pver_g6502",10391
"6489","Pver_Sc0000111_size569799",".","gene",559501,561944,".","+",".","Pver_g6503",2443
"6490","Pver_Sc0000111_size569799",".","gene",562003,567818,".","-",".","Pver_g6504",5815
"6491","Pver_Sc0000112_size552208",".","gene",1269,20474,".","+",".","Pver_g6505",19205
"6492","Pver_Sc0000112_size552208",".","gene",20642,30088,".","-",".","Pver_g6506",9446
"6493","Pver_Sc0000112_size552208",".","gene",33111,63218,".","-",".","Pver_g6507",30107
"6494","Pver_Sc0000112_size552208",".","gene",64137,68090,".","-",".","Pver_g6508",3953
"6495","Pver_Sc0000112_size552208",".","gene",68096,73070,".","+",".","Pver_g6509",4974
"6496","Pver_Sc0000112_size552208",".","gene",73409,86988,".","+",".","Pver_g6510",13579
"6497","Pver_Sc0000112_size552208","AUGUSTUS","gene",95659,121268,".","-",".","Pver_g6511",25609
"6498","Pver_Sc0000112_size552208","AUGUSTUS","gene",124606,125986,".","+",".","Pver_g6512",1380
"6499","Pver_Sc0000112_size552208","AUGUSTUS","gene",126165,139658,".","-",".","Pver_g6513",13493
"6500","Pver_Sc0000112_size552208",".","gene",150726,160750,".","+",".","Pver_g6514",10024
"6501","Pver_Sc0000112_size552208",".","gene",180573,188661,".","+",".","Pver_g6515",8088
"6502","Pver_Sc0000112_size552208",".","gene",190656,194392,".","+",".","Pver_g6516",3736
"6503","Pver_Sc0000112_size552208",".","gene",254481,259281,".","+",".","Pver_g6517",4800
"6504","Pver_Sc0000112_size552208",".","gene",261396,277511,".","+",".","Pver_g6518",16115
"6505","Pver_Sc0000112_size552208",".","gene",282793,303662,".","+",".","Pver_g6519",20869
"6506","Pver_Sc0000112_size552208",".","gene",302761,305520,".","-",".","Pver_g6520",2759
"6507","Pver_Sc0000112_size552208",".","gene",338490,347625,".","-",".","Pver_g6521",9135
"6508","Pver_Sc0000112_size552208",".","gene",353617,359419,".","+",".","Pver_g6522",5802
"6509","Pver_Sc0000112_size552208",".","gene",376723,386468,".","-",".","Pver_g6523",9745
"6510","Pver_Sc0000112_size552208",".","gene",386696,392890,".","+",".","Pver_g6524",6194
"6511","Pver_Sc0000112_size552208",".","gene",393146,396826,".","+",".","Pver_g6525",3680
"6512","Pver_Sc0000112_size552208","AUGUSTUS","gene",398286,401563,".","+",".","Pver_g6526",3277
"6513","Pver_Sc0000112_size552208",".","gene",403076,405273,".","+",".","Pver_g6527",2197
"6514","Pver_Sc0000112_size552208","AUGUSTUS","gene",406636,422800,".","+",".","Pver_g6528",16164
"6515","Pver_Sc0000112_size552208",".","gene",432132,435764,".","-",".","Pver_g6529",3632
"6516","Pver_Sc0000112_size552208",".","gene",446335,448329,".","+",".","Pver_g6530",1994
"6517","Pver_Sc0000112_size552208",".","gene",452792,455221,".","+",".","Pver_g6531",2429
"6518","Pver_Sc0000112_size552208","AUGUSTUS","gene",476448,481164,".","-",".","Pver_g6532",4716
"6519","Pver_Sc0000112_size552208",".","gene",484453,497094,".","-",".","Pver_g6533",12641
"6520","Pver_Sc0000112_size552208",".","gene",508592,513984,".","+",".","Pver_g6534",5392
"6521","Pver_Sc0000112_size552208",".","gene",514466,528214,".","-",".","Pver_g6535",13748
"6522","Pver_Sc0000112_size552208","AUGUSTUS","gene",543762,546312,".","+",".","Pver_g6536",2550
"6523","Pver_Sc0000113_size567671",".","gene",324,3647,".","+",".","Pver_g6537",3323
"6524","Pver_Sc0000113_size567671","AUGUSTUS","gene",12583,21908,".","-",".","Pver_g6538",9325
"6525","Pver_Sc0000113_size567671",".","gene",25856,32814,".","+",".","Pver_g6539",6958
"6526","Pver_Sc0000113_size567671",".","gene",33726,44861,".","+",".","Pver_g6540",11135
"6527","Pver_Sc0000113_size567671","AUGUSTUS","gene",47586,49858,".","-",".","Pver_g6541",2272
"6528","Pver_Sc0000113_size567671",".","gene",54426,58836,".","+",".","Pver_g6542",4410
"6529","Pver_Sc0000113_size567671","AUGUSTUS","gene",61456,64198,".","-",".","Pver_g6543",2742
"6530","Pver_Sc0000113_size567671",".","gene",66468,69708,".","-",".","Pver_g6544",3240
"6531","Pver_Sc0000113_size567671",".","gene",71817,89608,".","-",".","Pver_g6545",17791
"6532","Pver_Sc0000113_size567671",".","gene",89706,94042,".","+",".","Pver_g6546",4336
"6533","Pver_Sc0000113_size567671","AUGUSTUS","gene",112966,115038,".","-",".","Pver_g6547",2072
"6534","Pver_Sc0000113_size567671",".","gene",125394,139094,".","-",".","Pver_g6548",13700
"6535","Pver_Sc0000113_size567671","AUGUSTUS","gene",140476,147620,".","+",".","Pver_g6549",7144
"6536","Pver_Sc0000113_size567671","AUGUSTUS","gene",148950,152238,".","-",".","Pver_g6550",3288
"6537","Pver_Sc0000113_size567671",".","gene",153962,157289,".","+",".","Pver_g6551",3327
"6538","Pver_Sc0000113_size567671",".","gene",170786,183882,".","+",".","Pver_g6552",13096
"6539","Pver_Sc0000113_size567671","AUGUSTUS","gene",206356,218372,".","+",".","Pver_g6553",12016
"6540","Pver_Sc0000113_size567671","AUGUSTUS","gene",228356,235516,".","+",".","Pver_g6554",7160
"6541","Pver_Sc0000113_size567671","AUGUSTUS","gene",255106,256960,".","+",".","Pver_g6555",1854
"6542","Pver_Sc0000113_size567671","AUGUSTUS","gene",258136,275638,".","+",".","Pver_g6556",17502
"6543","Pver_Sc0000113_size567671","AUGUSTUS","gene",279506,281338,".","-",".","Pver_g6557",1832
"6544","Pver_Sc0000113_size567671",".","gene",282754,292288,".","-",".","Pver_g6558",9534
"6545","Pver_Sc0000113_size567671",".","gene",292524,318167,".","+",".","Pver_g6559",25643
"6546","Pver_Sc0000113_size567671","AUGUSTUS","gene",320982,324288,".","-",".","Pver_g6560",3306
"6547","Pver_Sc0000113_size567671","AUGUSTUS","gene",342476,349768,".","+",".","Pver_g6561",7292
"6548","Pver_Sc0000113_size567671","AUGUSTUS","gene",351916,359741,".","+",".","Pver_g6562",7825
"6549","Pver_Sc0000113_size567671",".","gene",359764,365868,".","-",".","Pver_g6563",6104
"6550","Pver_Sc0000113_size567671","AUGUSTUS","gene",366116,377371,".","+",".","Pver_g6564",11255
"6551","Pver_Sc0000113_size567671","AUGUSTUS","gene",379145,379988,".","-",".","Pver_g6565",843
"6552","Pver_Sc0000113_size567671","AUGUSTUS","gene",380760,381338,".","-",".","Pver_g6566",578
"6553","Pver_Sc0000113_size567671","AUGUSTUS","gene",381962,389898,".","-",".","Pver_g6567",7936
"6554","Pver_Sc0000113_size567671","AUGUSTUS","gene",390936,393831,".","+",".","Pver_g6568",2895
"6555","Pver_Sc0000113_size567671",".","gene",393166,412206,".","-",".","Pver_g6569",19040
"6556","Pver_Sc0000113_size567671","AUGUSTUS","gene",412426,417926,".","+",".","Pver_g6570",5500
"6557","Pver_Sc0000113_size567671","AUGUSTUS","gene",422806,440386,".","+",".","Pver_g6571",17580
"6558","Pver_Sc0000113_size567671","AUGUSTUS","gene",441171,464538,".","-",".","Pver_g6572",23367
"6559","Pver_Sc0000113_size567671","AUGUSTUS","gene",471002,496591,".","+",".","Pver_g6573",25589
"6560","Pver_Sc0000113_size567671",".","gene",496764,499235,".","-",".","Pver_g6574",2471
"6561","Pver_Sc0000113_size567671",".","gene",499292,502679,".","+",".","Pver_g6575",3387
"6562","Pver_Sc0000113_size567671",".","gene",502652,508644,".","-",".","Pver_g6576",5992
"6563","Pver_Sc0000113_size567671",".","gene",510170,524154,".","-",".","Pver_g6577",13984
"6564","Pver_Sc0000113_size567671",".","gene",527262,529139,".","+",".","Pver_g6578",1877
"6565","Pver_Sc0000113_size567671",".","gene",533832,538776,".","+",".","Pver_g6579",4944
"6566","Pver_Sc0000113_size567671",".","gene",541856,543154,".","-",".","Pver_g6580",1298
"6567","Pver_Sc0000113_size567671",".","gene",562719,567254,".","-",".","Pver_g6581",4535
"6568","Pver_Sc0000114_size585351","AUGUSTUS","gene",5491,7794,".","+",".","Pver_g6582",2303
"6569","Pver_Sc0000114_size585351","AUGUSTUS","gene",31976,32909,".","+",".","Pver_g6583",933
"6570","Pver_Sc0000114_size585351","AUGUSTUS","gene",42136,44956,".","+",".","Pver_g6584",2820
"6571","Pver_Sc0000114_size585351","AUGUSTUS","gene",49404,72608,".","-",".","Pver_g6585",23204
"6572","Pver_Sc0000114_size585351",".","gene",81176,86515,".","+",".","Pver_g6586",5339
"6573","Pver_Sc0000114_size585351",".","gene",87548,98178,".","-",".","Pver_g6587",10630
"6574","Pver_Sc0000114_size585351",".","gene",100576,106581,".","+",".","Pver_g6588",6005
"6575","Pver_Sc0000114_size585351","AUGUSTUS","gene",113466,124638,".","-",".","Pver_g6589",11172
"6576","Pver_Sc0000114_size585351","AUGUSTUS","gene",128520,130698,".","-",".","Pver_g6590",2178
"6577","Pver_Sc0000114_size585351",".","gene",131246,135529,".","+",".","Pver_g6591",4283
"6578","Pver_Sc0000114_size585351",".","gene",137696,140761,".","+",".","Pver_g6592",3065
"6579","Pver_Sc0000114_size585351","AUGUSTUS","gene",140913,149558,".","-",".","Pver_g6593",8645
"6580","Pver_Sc0000114_size585351","AUGUSTUS","gene",149656,155674,".","+",".","Pver_g6594",6018
"6581","Pver_Sc0000114_size585351",".","gene",157721,171104,".","-",".","Pver_g6595",13383
"6582","Pver_Sc0000114_size585351","AUGUSTUS","gene",176730,204608,".","-",".","Pver_g6596",27878
"6583","Pver_Sc0000114_size585351","AUGUSTUS","gene",209947,213298,".","-",".","Pver_g6597",3351
"6584","Pver_Sc0000114_size585351",".","gene",240449,253388,".","-",".","Pver_g6598",12939
"6585","Pver_Sc0000114_size585351","AUGUSTUS","gene",259086,262832,".","+",".","Pver_g6599",3746
"6586","Pver_Sc0000114_size585351","AUGUSTUS","gene",265234,271638,".","-",".","Pver_g6600",6404
"6587","Pver_Sc0000114_size585351",".","gene",277596,281326,".","+",".","Pver_g6601",3730
"6588","Pver_Sc0000114_size585351","AUGUSTUS","gene",298276,300937,".","+",".","Pver_g6602",2661
"6589","Pver_Sc0000114_size585351","AUGUSTUS","gene",301317,308828,".","-",".","Pver_g6603",7511
"6590","Pver_Sc0000114_size585351","AUGUSTUS","gene",312196,316516,".","+",".","Pver_g6604",4320
"6591","Pver_Sc0000114_size585351",".","gene",318806,323826,".","+",".","Pver_g6605",5020
"6592","Pver_Sc0000114_size585351",".","gene",325214,331518,".","-",".","Pver_g6606",6304
"6593","Pver_Sc0000114_size585351","AUGUSTUS","gene",335097,345688,".","-",".","Pver_g6607",10591
"6594","Pver_Sc0000114_size585351","AUGUSTUS","gene",353495,363238,".","-",".","Pver_g6608",9743
"6595","Pver_Sc0000114_size585351",".","gene",371172,383625,".","+",".","Pver_g6609",12453
"6596","Pver_Sc0000114_size585351",".","gene",384487,392952,".","-",".","Pver_g6610",8465
"6597","Pver_Sc0000114_size585351","AUGUSTUS","gene",400866,406362,".","+",".","Pver_g6611",5496
"6598","Pver_Sc0000114_size585351",".","gene",408479,429708,".","-",".","Pver_g6612",21229
"6599","Pver_Sc0000114_size585351",".","gene",431106,437811,".","+",".","Pver_g6613",6705
"6600","Pver_Sc0000114_size585351",".","gene",437461,440795,".","-",".","Pver_g6614",3334
"6601","Pver_Sc0000114_size585351",".","gene",440936,443307,".","+",".","Pver_g6615",2371
"6602","Pver_Sc0000114_size585351",".","gene",456586,467570,".","-",".","Pver_g6616",10984
"6603","Pver_Sc0000114_size585351","AUGUSTUS","gene",471536,504184,".","-",".","Pver_g6617",32648
"6604","Pver_Sc0000114_size585351",".","gene",507316,516544,".","-",".","Pver_g6618",9228
"6605","Pver_Sc0000114_size585351","AUGUSTUS","gene",574562,580813,".","+",".","Pver_g6619",6251
"6606","Pver_Sc0000114_size585351",".","gene",582322,585351,".","-",".","Pver_g6620",3029
"6607","Pver_Sc0000115_size570819",".","gene",16596,34105,".","+",".","Pver_g6621",17509
"6608","Pver_Sc0000115_size570819",".","gene",34511,49835,".","-",".","Pver_g6622",15324
"6609","Pver_Sc0000115_size570819","AUGUSTUS","gene",54806,58542,".","+",".","Pver_g6623",3736
"6610","Pver_Sc0000115_size570819","AUGUSTUS","gene",58596,63968,".","-",".","Pver_g6624",5372
"6611","Pver_Sc0000115_size570819","AUGUSTUS","gene",64528,77048,".","-",".","Pver_g6625",12520
"6612","Pver_Sc0000115_size570819","AUGUSTUS","gene",78985,84598,".","-",".","Pver_g6626",5613
"6613","Pver_Sc0000115_size570819",".","gene",89758,104482,".","+",".","Pver_g6627",14724
"6614","Pver_Sc0000115_size570819",".","gene",110705,126648,".","-",".","Pver_g6628",15943
"6615","Pver_Sc0000115_size570819",".","gene",128548,133418,".","-",".","Pver_g6629",4870
"6616","Pver_Sc0000115_size570819","AUGUSTUS","gene",135390,148838,".","-",".","Pver_g6630",13448
"6617","Pver_Sc0000115_size570819","AUGUSTUS","gene",149046,170537,".","+",".","Pver_g6631",21491
"6618","Pver_Sc0000115_size570819",".","gene",171258,176148,".","-",".","Pver_g6632",4890
"6619","Pver_Sc0000115_size570819",".","gene",176926,187659,".","+",".","Pver_g6633",10733
"6620","Pver_Sc0000115_size570819","AUGUSTUS","gene",188371,192718,".","-",".","Pver_g6634",4347
"6621","Pver_Sc0000115_size570819","AUGUSTUS","gene",194562,198688,".","-",".","Pver_g6635",4126
"6622","Pver_Sc0000115_size570819",".","gene",198796,204303,".","+",".","Pver_g6636",5507
"6623","Pver_Sc0000115_size570819","AUGUSTUS","gene",208473,220198,".","-",".","Pver_g6637",11725
"6624","Pver_Sc0000115_size570819",".","gene",225926,238077,".","+",".","Pver_g6638",12151
"6625","Pver_Sc0000115_size570819",".","gene",246996,274710,".","+",".","Pver_g6639",27714
"6626","Pver_Sc0000115_size570819","AUGUSTUS","gene",282506,287182,".","+",".","Pver_g6640",4676
"6627","Pver_Sc0000115_size570819",".","gene",291541,297018,".","-",".","Pver_g6641",5477
"6628","Pver_Sc0000115_size570819","AUGUSTUS","gene",298516,302372,".","+",".","Pver_g6642",3856
"6629","Pver_Sc0000115_size570819","AUGUSTUS","gene",303897,307718,".","-",".","Pver_g6643",3821
"6630","Pver_Sc0000115_size570819","AUGUSTUS","gene",319996,346161,".","+",".","Pver_g6644",26165
"6631","Pver_Sc0000115_size570819",".","gene",348118,373668,".","-",".","Pver_g6645",25550
"6632","Pver_Sc0000115_size570819",".","gene",387900,395590,".","-",".","Pver_g6646",7690
"6633","Pver_Sc0000115_size570819",".","gene",395586,397843,".","+",".","Pver_g6647",2257
"6634","Pver_Sc0000115_size570819",".","gene",398546,407972,".","+",".","Pver_g6648",9426
"6635","Pver_Sc0000115_size570819",".","gene",410136,439158,".","-",".","Pver_g6649",29022
"6636","Pver_Sc0000115_size570819","AUGUSTUS","gene",439386,441366,".","+",".","Pver_g6650",1980
"6637","Pver_Sc0000115_size570819","AUGUSTUS","gene",443361,458898,".","-",".","Pver_g6651",15537
"6638","Pver_Sc0000115_size570819","AUGUSTUS","gene",466762,470570,".","-",".","Pver_g6652",3808
"6639","Pver_Sc0000115_size570819",".","gene",529528,536202,".","+",".","Pver_g6653",6674
"6640","Pver_Sc0000115_size570819","AUGUSTUS","gene",540418,554938,".","+",".","Pver_g6654",14520
"6641","Pver_Sc0000115_size570819","AUGUSTUS","gene",562798,565174,".","+",".","Pver_g6655",2376
"6642","Pver_Sc0000116_size574997",".","gene",1,9888,".","-",".","Pver_g6656",9887
"6643","Pver_Sc0000116_size574997","AUGUSTUS","gene",17156,18968,".","-",".","Pver_g6657",1812
"6644","Pver_Sc0000116_size574997",".","gene",24116,36426,".","+",".","Pver_g6658",12310
"6645","Pver_Sc0000116_size574997",".","gene",37355,38903,".","+",".","Pver_g6659",1548
"6646","Pver_Sc0000116_size574997",".","gene",47197,52374,".","-",".","Pver_g6660",5177
"6647","Pver_Sc0000116_size574997",".","gene",53255,56948,".","-",".","Pver_g6661",3693
"6648","Pver_Sc0000116_size574997",".","gene",59327,66688,".","-",".","Pver_g6662",7361
"6649","Pver_Sc0000116_size574997",".","gene",67172,70082,".","-",".","Pver_g6663",2910
"6650","Pver_Sc0000116_size574997",".","gene",70466,73208,".","+",".","Pver_g6664",2742
"6651","Pver_Sc0000116_size574997",".","gene",73846,76858,".","+",".","Pver_g6665",3012
"6652","Pver_Sc0000116_size574997",".","gene",76403,80118,".","-",".","Pver_g6666",3715
"6653","Pver_Sc0000116_size574997",".","gene",82368,86139,".","+",".","Pver_g6667",3771
"6654","Pver_Sc0000116_size574997",".","gene",91036,100020,".","-",".","Pver_g6668",8984
"6655","Pver_Sc0000116_size574997","AUGUSTUS","gene",104599,109798,".","-",".","Pver_g6669",5199
"6656","Pver_Sc0000116_size574997","AUGUSTUS","gene",112446,127587,".","+",".","Pver_g6670",15141
"6657","Pver_Sc0000116_size574997",".","gene",133122,160898,".","-",".","Pver_g6671",27776
