"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"222","transmembrane transporter activity","GO:0022857","GO:0015349",0.00481796693974463,0.99962651574881,3,42,"thyroid hormone transmembrane transporter activity","MF"
"223","oxidoreductase activity","GO:0016491","GO:0016716",0.0241543936831709,0.999804283294221,1,3,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","MF"
"224","hydrolase activity, acting on glyco...","GO:0016798","GO:0016799",0.0240834554005719,0.99980543746609,1,3,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF"
"225","kinase activity","GO:0016301","GO:0019158",0.0240363825126333,0.999806201441429,1,3,"mannokinase activity","MF"
"226","ion binding","GO:0043167","GO:0019809",0.0080763317926142,1,1,1,"spermidine binding","MF"
"227","transmembrane transporter activity","GO:0022857","GO:0022821",0.00802831481177877,1,1,1,"potassium ion antiporter activity","MF"
"228","transmembrane transporter activity","GO:0022857","GO:0022848",0.00514090515079297,0.999591648993677,3,43,"acetylcholine-gated cation-selective channel activity","MF"
"229","enzyme regulator activity","GO:0030234","GO:0030250",0.00817031412706748,1,1,1,"guanylate cyclase activator activity","MF"
"230","transcription factor binding","GO:0008134","GO:0030957",0.0161384694481651,0.999934651054492,1,2,"Tat protein binding","MF"
"231","cytoskeletal protein binding","GO:0008092","GO:0032027",0.0319841850815575,0.999612907383867,1,4,"myosin light chain binding","MF"
"232","transmembrane transporter activity","GO:0022857","GO:0033300",0.00134836066243711,0.999981820229107,2,7,"dehydroascorbic acid transmembrane transporter activity","MF"
"233","oxidoreductase activity","GO:0016491","GO:0033743",0.0241785475348613,0.9998038895215,1,3,"peptide-methionine (R)-S-oxide reductase activity","MF"
"234","DNA binding","GO:0003677","GO:0043565",0.029095017156483,0.990161645995873,7,362,"sequence-specific DNA binding","MF"
"235","enzyme binding","GO:0019899","GO:0044547",0.0321538279831102,0.999608761819128,1,4,"DNA topoisomerase binding","MF"
"236","transferase activity, transferring ...","GO:0016746","GO:0047253",0.00816526217400386,1,1,1,"alpha-1,6-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity","MF"
"237","transferase activity, transferring ...","GO:0016746","GO:0050111",0.00814041743786703,1,1,1,"mycocerosate synthase activity","MF"
"238","hydrolase activity, acting on carbo...","GO:0016810","GO:0050129",0.0399310779129826,0.999354670066952,1,5,"N-formylglutamate deformylase activity","MF"
"239","transmembrane transporter activity","GO:0022857","GO:0051032",0.0476475609591242,0.99904032723205,1,6,"nucleic acid transmembrane transporter activity","MF"
"240","lyase activity","GO:0016829","GO:0061928",0.0161479475657979,0.999934573957849,1,2,"glutathione specific gamma-glutamylcyclotransferase activity","MF"
"241","oxidoreductase activity","GO:0016491","GO:0070224",6.53798068455075e-05,1,2,2,"sulfide:quinone oxidoreductase activity","MF"
"242","ion binding","GO:0043167","GO:0071949",0.000730496538996381,0.999946594243133,4,50,"FAD binding","MF"
"243","oxidoreductase activity","GO:0016491","GO:0080103",0.00815662599427372,1,1,1,"4-methylthiopropyl glucosinolate S-oxygenase activity","MF"
"244","oxidoreductase activity","GO:0016491","GO:0080107",0.00815662599427372,1,1,1,"8-methylthiopropyl glucosinolate S-oxygenase activity","MF"
"245","DNA binding","GO:0003677","GO:0098847",0.00816659454587759,1,1,1,"sequence-specific single stranded DNA binding","MF"
"246","oxidoreductase activity","GO:0016491","GO:0102389",0.00812512638789156,1,1,1,"polyprenol reductase activity","MF"
"247","transferase activity, transferring ...","GO:0016746","GO:0102751",0.0241018251202797,0.999805138920277,1,3,"UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity","MF"
"248","ion binding","GO:0043167","GO:1901981",0.000954390928167934,0.999989774269259,2,6,"phosphatidylinositol phosphate binding","MF"
"249",NA,NA,"GO:0015464",0.00241268317538569,0.999855677482133,3,33,"acetylcholine receptor activity","MF"
"250",NA,NA,"GO:0005536",0.00344841887401386,0.999916628667806,2,11,"glucose binding","MF"
"251",NA,NA,"GO:0020037",0.00435121451459638,0.99912565794325,6,187,"heme binding","MF"
"252",NA,NA,"GO:0031752",0.00809208099111564,1,1,1,"D5 dopamine receptor binding","MF"
"253",NA,NA,"GO:0061770",0.00816659454587759,1,1,1,"translation elongation factor binding","MF"
"254",NA,NA,"GO:0004463",0.00817032658211559,1,1,1,"leukotriene-A4 hydrolase activity","MF"
"255",NA,NA,"GO:0048038",0.0102453093841675,0.999535263553663,2,19,"quinone binding","MF"
"256",NA,NA,"GO:0051425",0.0162059132611103,0.999934101457766,1,2,"PTB domain binding","MF"
"257",NA,NA,"GO:1904841",0.0242039236066613,0.999803475392342,1,3,"TORC2 complex binding","MF"
"258",NA,NA,"GO:0004301",0.0242120130532487,0.999803343282403,1,3,"epoxide hydrolase activity","MF"
"259",NA,NA,"GO:0010997",0.0242278299951897,0.999803084843945,1,3,"anaphase-promoting complex binding","MF"
"260",NA,NA,"GO:0043559",0.0321087258836041,0.999609866163946,1,4,"insulin binding","MF"
"261",NA,NA,"GO:1990841",0.0380219554906069,0.996398391013318,2,38,"promoter-specific chromatin binding","MF"
"262",NA,NA,"GO:0051879",0.0400150458423125,0.996099193374101,2,39,"Hsp90 protein binding","MF"
"263",NA,NA,"GO:0004064",0.0400700122493502,0.999350134265803,1,5,"arylesterase activity","MF"
"264",NA,NA,"GO:0097677",0.0478368091123392,0.999032614792932,1,6,"STAT family protein binding","MF"
"265","intracellular","GO:0005622","GO:0000151",0.0403788263027453,0.992929541258549,3,93,"ubiquitin ligase complex","CC"
"266","intracellular","GO:0005622","GO:0000808",0.024161271086971,0.999804171214789,1,3,"origin recognition complex","CC"
"267","intracellular","GO:0005622","GO:0001534",0.0478854686522582,0.999030626683009,1,6,"radial spoke","CC"
"268","intracellular","GO:0005622","GO:0005743",0.0487885079349607,0.98525152200417,5,243,"mitochondrial inner membrane","CC"
"269","intracellular","GO:0005622","GO:0005811",0.0173315239861521,0.997818487275758,3,67,"lipid droplet","CC"
"270","intracellular","GO:0005622","GO:0005834",0.0398662232547728,0.999356781854624,1,5,"heterotrimeric G-protein complex","CC"
"271","plasma membrane","GO:0005886","GO:0005887",0.00359020906908891,0.998397254172716,20,1265,"integral component of plasma membrane","CC"
"272","protein-containing complex","GO:0032991","GO:0005892",0.00361662519619457,0.999748215299564,3,38,"acetylcholine-gated channel complex","CC"
"273","intracellular","GO:0005622","GO:0009705",0.00802831481177877,1,1,1,"plant-type vacuole membrane","CC"
"274","intracellular","GO:0005622","GO:0030659",0.00217182833102704,0.999698428323979,5,111,"cytoplasmic vesicle membrane","CC"
"275","intracellular","GO:0005622","GO:0030891",0.0243034806230426,0.999801846389458,1,3,"VCB complex","CC"
"276","plasma membrane","GO:0005886","GO:0032587",0.0495934117803821,0.994541524864106,2,44,"ruffle membrane","CC"
"277","intracellular","GO:0005622","GO:0033557",0.0162735383114262,0.999933548054303,1,2,"Slx1-Slx4 complex","CC"
"278","plasma membrane","GO:0005886","GO:0036062",0.00808615176754049,1,1,1,"presynaptic periactive zone","CC"
"279","intracellular","GO:0005622","GO:0036464",0.0418294051109809,0.995818893876123,2,40,"cytoplasmic ribonucleoprotein granule","CC"
"280","intracellular","GO:0005622","GO:0042151",0.0311691957477332,0.997359974703849,2,34,"nematocyst","CC"
"281","organelle","GO:0043226","GO:0042622",0.0399528300304832,0.999353960989861,1,5,"photoreceptor outer segment membrane","CC"
"282","intracellular","GO:0005622","GO:0045169",0.0476966269001309,0.999038330666617,1,6,"fusome","CC"
"283","plasma membrane","GO:0005886","GO:0045211",0.00939721295080874,0.997778707427749,6,220,"postsynaptic membrane","CC"
"284","intracellular","GO:0005622","GO:0048269",0.0242091423173832,0.999803390169949,1,3,"methionine adenosyltransferase complex","CC"
"285","intracellular","GO:0005622","GO:0070776",0.0400053244069861,0.999352248144236,1,5,"MOZ/MORF histone acetyltransferase complex","CC"
"286","intracellular","GO:0005622","GO:0097165",0.0321020180425969,0.99961003027323,1,4,"nuclear stress granule","CC"
"287","organelle","GO:0043226","GO:0097224",0.0241430386270562,0.999804468273915,1,3,"sperm connecting piece","CC"
"288","organelle","GO:0043226","GO:0097381",0.0320029069545252,0.999612450976143,1,4,"photoreceptor disc membrane","CC"
"289","intracellular","GO:0005622","GO:1990467",0.00816891395339861,1,1,1,"NuA3a histone acetyltransferase complex","CC"
"290","intracellular","GO:0005622","GO:1990468",0.00816891395339861,1,1,1,"NuA3b histone acetyltransferase complex","CC"
"291",NA,NA,"GO:0005927",0.0241868796059576,0.99980375359353,1,3,"muscle tendon junction","CC"
"292",NA,NA,"GO:0012505",0.0311680509593025,0.997360123781122,2,34,"endomembrane system","CC"
"293",NA,NA,"GO:0032982",0.039910348690371,0.999355345431339,1,5,"myosin filament","CC"
