Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240118W
A0A3M6UFP2	A0A3M6UFP2_POCDA	unreviewed	pdam_00019900	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	201			RMX52445.1
A0A2B4SBK8	A0A2B4SBK8_STYPI	unreviewed	pol AWC38_SpisGene9533	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	750	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX25835.1
A0A3M6USU7	A0A3M6USU7_POCDA	unreviewed	pdam_00025413	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	142			RMX56732.1
A0A2B4RQ60	A0A2B4RQ60_STYPI	unreviewed	NLRC3 AWC38_SpisGene16663	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1167			PFX18943.1
A0A3M6UUX9	A0A3M6UUX9_POCDA	unreviewed	pdam_00020867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	230			RMX57472.1
A0A3M6TJZ7	A0A3M6TJZ7_POCDA	unreviewed	pdam_00022134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	259			RMX41710.1
A0A2B4RLN3	A0A2B4RLN3_STYPI	unreviewed	DD3-3 AWC38_SpisGene18265	Stylophora pistillata (Smooth cauliflower coral)	Protein DD3-3	838	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0016021; GO:0046872	PFX17400.1
A0A3M6UZS3	A0A3M6UZS3_POCDA	unreviewed	pdam_00007713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANF_receptor domain-containing protein	2294	integral component of membrane [GO:0016021]	GO:0016021	RMX59191.1
A0A2B4SL73	A0A2B4SL73_STYPI	unreviewed	Ptprd AWC38_SpisGene5957	Stylophora pistillata (Smooth cauliflower coral)	Protein-tyrosine-phosphatase (EC 3.1.3.48)	917	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	PFX29277.1
A0A3M6U9W2	A0A3M6U9W2_POCDA	unreviewed	pdam_00022727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	signal transduction [GO:0007165]	GO:0007165	RMX50376.1
A0A3M6V2X0	A0A3M6V2X0_POCDA	unreviewed	pdam_00010108	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1445			RMX60154.1
A0A2B4S977	A0A2B4S977_STYPI	unreviewed	AWC38_SpisGene9389	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	646	integral component of membrane [GO:0016021]	GO:0016021	PFX25946.1
A0A3M6V3M0	A0A3M6V3M0_POCDA	unreviewed	pdam_00010119	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	tRNA wybutosine-synthesizing protein 3 homolog (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase) (Fragment)	260	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; tRNA processing [GO:0008033]	GO:0008033; GO:0008168; GO:0032259	RMX60168.1
A0A3M6V4C0	A0A3M6V4C0_POCDA	unreviewed	pdam_00022523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	314			RMX60786.1
A0A2B4S3V6	A0A2B4S3V6_STYPI	unreviewed	Trim3 AWC38_SpisGene10825	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1071			PFX24581.1
A0A3M6UTN0	A0A3M6UTN0_POCDA	unreviewed	pdam_00016136	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1599			RMX56995.1
A0A3M6UTM9	A0A3M6UTM9_POCDA	unreviewed	pdam_00016137	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ETS domain-containing protein	482	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	RMX57000.1
A0A3M6V0K2	A0A3M6V0K2_POCDA	unreviewed	pdam_00016369	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	771			RMX59369.1
A0A3M6V1E6	A0A3M6V1E6_POCDA	unreviewed	pdam_00016368	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2028			RMX59368.1
A0A2B4RF47	A0A2B4RF47_STYPI	unreviewed	AWC38_SpisGene20919	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	581	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14892.1
A0A3M6UUJ1	A0A3M6UUJ1_POCDA	unreviewed	pdam_00010562	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SWIM-type domain-containing protein (Fragment)	269	zinc ion binding [GO:0008270]	GO:0008270	RMX57259.1
A0A3M6V553	A0A3M6V553_POCDA	unreviewed	pdam_00007764	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Bifunctional lysine-specific demethylase and histidyl-hydroxylase (EC 1.14.11.-)	843	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; calcium-activated potassium channel activity [GO:0015269]; iron ion binding [GO:0005506]	GO:0005506; GO:0005634; GO:0015269; GO:0016021; GO:0016706	RMX60844.1
A0A2B4RLL0	A0A2B4RLL0_STYPI	unreviewed	MCFD2 AWC38_SpisGene17963	Stylophora pistillata (Smooth cauliflower coral)	Multiple coagulation factor deficiency protein 2-like	481	calcium ion binding [GO:0005509]	GO:0005509	PFX17699.1
A0A3M6UL68	A0A3M6UL68_POCDA	unreviewed	pdam_00013892	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	410			RMX54406.1
A0A2B4RMJ7	A0A2B4RMJ7_STYPI	unreviewed	RET AWC38_SpisGene15936	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1055	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19654.1
A0A3M6U1T7	A0A3M6U1T7_POCDA	unreviewed	pdam_00013608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	286			RMX47655.1
A0A3M6UQA4	A0A3M6UQA4_POCDA	unreviewed	pdam_00009567	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	971	zinc ion binding [GO:0008270]	GO:0008270	RMX55805.1
A0A2B4RNH6	A0A2B4RNH6_STYPI	unreviewed	AWC38_SpisGene17857	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	784			PFX17792.1
A0A3M6U327	A0A3M6U327_POCDA	unreviewed	pdam_00002581	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-) (Fragment)	1730	NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950	RMX48017.1
A0A3M6U3Q8	A0A3M6U3Q8_POCDA	unreviewed	pdam_00002579	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	345	integral component of membrane [GO:0016021]	GO:0016021	RMX48118.1
A0A2B4RMT3	A0A2B4RMT3_STYPI	unreviewed	AWC38_SpisGene16688	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1687	integral component of membrane [GO:0016021]	GO:0016021	PFX18921.1
A0A3M6TUS8	A0A3M6TUS8_POCDA	unreviewed	pdam_00017485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	436	integral component of membrane [GO:0016021]	GO:0016021	RMX45175.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
A0A3M6TPN9	A0A3M6TPN9_POCDA	unreviewed	pdam_00014971	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1011	regulation of apoptotic process [GO:0042981]	GO:0042981	RMX43316.1
A0A3M6TPP4	A0A3M6TPP4_POCDA	unreviewed	pdam_00014972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RAD51_interact domain-containing protein	396	nucleus [GO:0005634]; double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; DNA repair [GO:0006281]	GO:0003690; GO:0003697; GO:0003723; GO:0005634; GO:0006281	RMX43319.1
A0A3M6UJP0	A0A3M6UJP0_POCDA	unreviewed	pdam_00018625	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	411	RNA binding [GO:0003723]	GO:0003723	RMX53867.1
A0A2B4R8B2	A0A2B4R8B2_STYPI	unreviewed	trim71 AWC38_SpisGene21241	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1823	cytoplasm [GO:0005737]; N-acetyltransferase activity [GO:0008080]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008080; GO:0008270	PFX14584.1
A0A3M6UIN6	A0A3M6UIN6_POCDA	unreviewed	pdam_00016515	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	LamGL domain-containing protein	313			RMX53228.1
A0A3M6TTE5	A0A3M6TTE5_POCDA	unreviewed	pdam_00002714	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	569	calcium ion binding [GO:0005509]	GO:0005509	RMX44589.1
A0A3M6TTA3	A0A3M6TTA3_POCDA	unreviewed	pdam_00002711	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	512	meiosis I [GO:0007127]; spermatogenesis [GO:0007283]	GO:0007127; GO:0007283	RMX44586.1
A0A3M6THB5	A0A3M6THB5_POCDA	unreviewed	pdam_00009907	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	152			RMX40634.1
A0A2B4RXM1	A0A2B4RXM1_STYPI	unreviewed	AWC38_SpisGene13963	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	821			PFX21549.1
A0A2B4SHT2	A0A2B4SHT2_STYPI	unreviewed	AWC38_SpisGene7287	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	833	integral component of membrane [GO:0016021]	GO:0016021	PFX28042.1
A0A3M6TCW6	A0A3M6TCW6_POCDA	unreviewed	pdam_00018977	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein	430	integral component of membrane [GO:0016021]	GO:0016021	RMX39246.1
A0A2B4RAE5	A0A2B4RAE5_STYPI	unreviewed	Tf2-9 AWC38_SpisGene22106	Stylophora pistillata (Smooth cauliflower coral)	Transposon Tf2-9 polyprotein	763	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13783.1
A0A3M6TRY1	A0A3M6TRY1_POCDA	unreviewed	pdam_00002460	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	554	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]	GO:0005524; GO:0016021	RMX44099.1
A0A2B4RBI1	A0A2B4RBI1_STYPI	unreviewed	AWC38_SpisGene21703	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	456			PFX14163.1
A0A3M6ULS6	A0A3M6ULS6_POCDA	unreviewed	pdam_00022044	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	421			RMX54633.1
A0A3M6ULV8	A0A3M6ULV8_POCDA	unreviewed	pdam_00022043	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	638	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX54632.1
A0A2B4SEX9	A0A2B4SEX9_STYPI	unreviewed	Pim2 AWC38_SpisGene8190	Stylophora pistillata (Smooth cauliflower coral)	Serine/threonine-protein kinase pim-2	504	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	PFX27117.1
A0A3M6TEI7	A0A3M6TEI7_POCDA	unreviewed	pdam_00007168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	656			RMX39792.1
A0A3M6TQ45	A0A3M6TQ45_POCDA	unreviewed	pdam_00024292	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	958	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	RMX43388.1
A0A3M6V3Z2	A0A3M6V3Z2_POCDA	unreviewed	pdam_00021134	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	275			RMX60652.1
A0A3M6V464	A0A3M6V464_POCDA	unreviewed	pdam_00021124	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	552			RMX60667.1
A0A3M6T4L0	A0A3M6T4L0_POCDA	unreviewed	pdam_00021759	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FLYWCH-type domain-containing protein (Fragment)	382			RMX35780.1
A0A3M6THZ0	A0A3M6THZ0_POCDA	unreviewed	pdam_00011573	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	237			RMX41000.1
A0A3M6THU8	A0A3M6THU8_POCDA	unreviewed	pdam_00011571	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tetraspanin	293	integral component of membrane [GO:0016021]	GO:0016021	RMX41002.1
A0A3M6TI74	A0A3M6TI74_POCDA	unreviewed	pdam_00011569	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1204	nucleotide binding [GO:0000166]; signal transduction [GO:0007165]	GO:0000166; GO:0007165	RMX41031.1
A0A3M6TI24	A0A3M6TI24_POCDA	unreviewed	pdam_00011566	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Delta-tubulin (Tubulin delta chain) (Fragment)	554	centriole [GO:0005814]; cilium [GO:0005929]; microtubule [GO:0005874]; nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; cell projection organization [GO:0030030]; microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005634; GO:0005814; GO:0005874; GO:0005929; GO:0007017; GO:0030030	RMX41030.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6UJY0	A0A3M6UJY0_POCDA	unreviewed	pdam_00020092	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1457	metal ion binding [GO:0046872]	GO:0046872	RMX53912.1
A0A3M6V352	A0A3M6V352_POCDA	unreviewed	pdam_00017992	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1624	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX60290.1
A0A2B4S7K3	A0A2B4S7K3_STYPI	unreviewed	AWC38_SpisGene8668	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1369			PFX26644.1
A0A3M6U1N8	A0A3M6U1N8_POCDA	unreviewed	pdam_00018656	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	473			RMX47560.1
A0A2B4SJS9	A0A2B4SJS9_STYPI	unreviewed	GALNS AWC38_SpisGene6409	Stylophora pistillata (Smooth cauliflower coral)	Aurora kinase (EC 2.7.11.1)	872	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; sulfuric ester hydrolase activity [GO:0008484]	GO:0005524; GO:0008484; GO:0106310; GO:0106311	PFX28838.1
A0A3M6TQC2	A0A3M6TQC2_POCDA	unreviewed	pdam_00023422	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1242			RMX43592.1
A0A3M6UMQ1	A0A3M6UMQ1_POCDA	unreviewed	pdam_00012694	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	909	integral component of membrane [GO:0016021]	GO:0016021	RMX54936.1
A0A3M6UMR5	A0A3M6UMR5_POCDA	unreviewed	pdam_00012696	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	990	integral component of membrane [GO:0016021]	GO:0016021	RMX54935.1
A0A2B4RIV2	A0A2B4RIV2_STYPI	unreviewed	Nlrc3 AWC38_SpisGene18569	Stylophora pistillata (Smooth cauliflower coral)	Protein NLRC3	1174			PFX17116.1
A0A3M6UTJ5	A0A3M6UTJ5_POCDA	unreviewed	pdam_00021154	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	270			RMX56919.1
A7T793	A7T793_NEMVE	unreviewed	v1g56806	Nematostella vectensis (Starlet sea anemone)	Predicted protein (Fragment)	223			EDO28159.1
A0A2B4RC77	A0A2B4RC77_STYPI	unreviewed	HEG1 AWC38_SpisGene21914	Stylophora pistillata (Smooth cauliflower coral)	Protein HEG-like 1	321	calcium ion binding [GO:0005509]	GO:0005509	PFX13967.1
A0A3M6TUS0	A0A3M6TUS0_POCDA	unreviewed	pdam_00022780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	277			RMX45157.1
A0A3M6TRZ5	A0A3M6TRZ5_POCDA	unreviewed	pdam_00022981	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HECT domain-containing protein	620	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	RMX44024.1
A0A3M6T8R1	A0A3M6T8R1_POCDA	unreviewed	pdam_00006549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	312			RMX37719.1
A0A3M6UNR3	A0A3M6UNR3_POCDA	unreviewed	pdam_00025120	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	654			RMX55282.1
A0A3M6TIL2	A0A3M6TIL2_POCDA	unreviewed	pdam_00003314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	141	extracellular region [GO:0005576]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	GO:0005576; GO:0005886; GO:0006812; GO:0015267; GO:0044218; GO:0046930; GO:0046931; GO:0052331	RMX41108.1
A0A2B4SB04	A0A2B4SB04_STYPI	unreviewed	AWC38_SpisGene8747	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1099	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; signal transduction [GO:0007165]	GO:0005524; GO:0007165; GO:0016887	PFX26556.1
A0A3M6UG06	A0A3M6UG06_POCDA	unreviewed	pdam_00021331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1523	integral component of membrane [GO:0016021]	GO:0016021	RMX52593.1
A0A3M6TYM9	A0A3M6TYM9_POCDA	unreviewed	pdam_00020511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	253			RMX46500.1
A0A2B4SIF2	A0A2B4SIF2_STYPI	unreviewed	Irgc AWC38_SpisGene6370	Stylophora pistillata (Smooth cauliflower coral)	Interferon-inducible GTPase 5	296	membrane [GO:0016020]; GTP binding [GO:0005525]	GO:0005525; GO:0016020	PFX28863.1
A0A2B4SP54	A0A2B4SP54_STYPI	unreviewed	AWC38_SpisGene2692	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1036			PFX32454.1
Q66ND1	Q66ND1_POCDA	unreviewed		Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Cyan fluorescent protein C1	222	bioluminescence [GO:0008218]	GO:0008218	AAU04450.2
A0A3M6UMC9	A0A3M6UMC9_POCDA	unreviewed	pdam_00011174	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	971			RMX54843.1
A0A4Y2DHN6	A0A4Y2DHN6_ARAVE	unreviewed	AVEN_256870_1 AVEN_78995_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	CCHC-type domain-containing protein	869	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0004190; GO:0008270	GBM16262.1
A0A3M6TDY8	A0A3M6TDY8_POCDA	unreviewed	pdam_00006097	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1419	integral component of membrane [GO:0016021]	GO:0016021	RMX39541.1
A0A3M6TEB0	A0A3M6TEB0_POCDA	unreviewed	pdam_00006098	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	265	integral component of membrane [GO:0016021]	GO:0016021	RMX39544.1
A0A3M6TE33	A0A3M6TE33_POCDA	unreviewed	pdam_00006100	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4557	integral component of membrane [GO:0016021]	GO:0016021	RMX39559.1
A0A3M6UGX8	A0A3M6UGX8_POCDA	unreviewed	pdam_00012237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH3 domain-containing protein	571	integral component of membrane [GO:0016021]	GO:0016021	RMX52829.1
A0A3M6UH28	A0A3M6UH28_POCDA	unreviewed	pdam_00012232	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	403	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX52824.1
A0A2B4RD39	A0A2B4RD39_STYPI	unreviewed	GP5 AWC38_SpisGene21557	Stylophora pistillata (Smooth cauliflower coral)	Platelet glycoprotein V	856	integral component of membrane [GO:0016021]	GO:0016021	PFX14298.1
A0A2B4RH92	A0A2B4RH92_STYPI	unreviewed	POL AWC38_SpisGene20145	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	1714	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004190; GO:0004519	PFX15622.1
A0A2B4SVE9	A0A2B4SVE9_STYPI	unreviewed	K02A2.6 AWC38_SpisGene2017	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	950	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33159.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A3M6U946	A0A3M6U946_POCDA	unreviewed	pdam_00004838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glucose-6-phosphate isomerase (EC 5.3.1.9)	1434	glucose-6-phosphate isomerase activity [GO:0004347]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	GO:0004347; GO:0006094; GO:0006096	RMX50205.1
A0A3M6U9C0	A0A3M6U9C0_POCDA	unreviewed	pdam_00004829	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	604			RMX50176.1
A0A3M6U915	A0A3M6U915_POCDA	unreviewed	pdam_00004827	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1067			RMX50172.1
A0A3M6U9M8	A0A3M6U9M8_POCDA	unreviewed	pdam_00004823	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	629			RMX50168.1
A0A3M6U929	A0A3M6U929_POCDA	unreviewed	pdam_00004822	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VPS9 domain-containing protein	897			RMX50167.1
A0A3M6U911	A0A3M6U911_POCDA	unreviewed	pdam_00004821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	656	integral component of membrane [GO:0016021]	GO:0016021	RMX50170.1
A0A3M6T7T0	A0A3M6T7T0_POCDA	unreviewed	pdam_00015450	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	830	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX37344.1
A0A2B4RUE4	A0A2B4RUE4_STYPI	unreviewed	HMCN1 AWC38_SpisGene15604	Stylophora pistillata (Smooth cauliflower coral)	Hemicentin-1	1906			PFX19967.1
A0A3M6UI08	A0A3M6UI08_POCDA	unreviewed	pdam_00015481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	888	calcium ion binding [GO:0005509]	GO:0005509	RMX53164.1
A0A3M6UHY5	A0A3M6UHY5_POCDA	unreviewed	pdam_00015476	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1912			RMX53169.1
A0A3M6UHP4	A0A3M6UHP4_POCDA	unreviewed	pdam_00015474	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1625			RMX53171.1
A0A3M6UHL9	A0A3M6UHL9_POCDA	unreviewed	pdam_00015472	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	810			RMX53173.1
A0A3M6UHQ3	A0A3M6UHQ3_POCDA	unreviewed	pdam_00015467	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	146			RMX53156.1
A0A3M6U262	A0A3M6U262_POCDA	unreviewed	pdam_00012326	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein (Fragment)	250	calcium ion binding [GO:0005509]	GO:0005509	RMX47711.1
A0A2B4REX6	A0A2B4REX6_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene20992	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	1909	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX14822.1
A0A3M6U4F7	A0A3M6U4F7_POCDA	unreviewed	pdam_00015193	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein	197	metal ion binding [GO:0046872]	GO:0046872	RMX48449.1
A0A3M6U4B9	A0A3M6U4B9_POCDA	unreviewed	pdam_00015190	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1455	catalytic activity [GO:0003824]; carbohydrate metabolic process [GO:0005975]	GO:0003824; GO:0005975	RMX48446.1
A0A3M6U474	A0A3M6U474_POCDA	unreviewed	pdam_00015189	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein transport protein SEC23	843	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; zinc ion binding [GO:0008270]; COPII-coated vesicle budding [GO:0090114]; intracellular protein transport [GO:0006886]	GO:0005789; GO:0006886; GO:0008270; GO:0030127; GO:0090114	RMX48462.1
