Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434516
A0A2B4RSH4	A0A2B4RSH4_STYPI	unreviewed	Cad96Ca AWC38_SpisGene16373	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1603	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX19205.1
A0A3M6TVU9	A0A3M6TVU9_POCDA	unreviewed	pdam_00000776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein (Fragment)	373	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	RMX45394.1
A0A2B4RMP5	A0A2B4RMP5_STYPI	unreviewed	AWC38_SpisGene16723	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	640			PFX18881.1
A0A2B4RPT5	A0A2B4RPT5_STYPI	unreviewed	hnmt-a AWC38_SpisGene16396	Stylophora pistillata (Smooth cauliflower coral)	Histamine N-methyltransferase A	316	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX19196.1
A0A3M6ULM8	A0A3M6ULM8_POCDA	unreviewed	pdam_00023672	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	631	integral component of membrane [GO:0016021]	GO:0016021	RMX54593.1
A0A3M6V1V6	A0A3M6V1V6_POCDA	unreviewed	pdam_00023485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	178			RMX59870.1
A0A3M6TG63	A0A3M6TG63_POCDA	unreviewed	pdam_00019657	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1475	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	RMX40338.1
A0A3M6V1V0	A0A3M6V1V0_POCDA	unreviewed	pdam_00025561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	776			RMX59867.1
A0A3M6TRF0	A0A3M6TRF0_POCDA	unreviewed	pdam_00017572	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	219			RMX43985.1
A0A2B4RPB6	A0A2B4RPB6_STYPI	unreviewed	AWC38_SpisGene17462	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	751			PFX18187.1
A0A2B4RJQ9	A0A2B4RJQ9_STYPI	unreviewed	AWC38_SpisGene19123	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1824	nucleic acid binding [GO:0003676]	GO:0003676	PFX16598.1
A0A2B4S5H0	A0A2B4S5H0_STYPI	unreviewed	AWC38_SpisGene11699	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	611			PFX23725.1
A0A7R8W9W0	A0A7R8W9W0_9CRUS	unreviewed	CTOB1V02_LOCUS5540	Cyprideis torosa	Hypothetical protein	435			CAD7227639.1
A0A432I9K5	A0A432I9K5_9GAMM	unreviewed	DSY43_01240	Gammaproteobacteria bacterium	Uncharacterized protein	902			RUA06772.1
A0A3M6TCI2	A0A3M6TCI2_POCDA	unreviewed	pdam_00021494	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1100			RMX39028.1
A0A3M6TXL2	A0A3M6TXL2_POCDA	unreviewed	pdam_00017709	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Histone H2B	230	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982	RMX46137.1
A0A3M6UEZ8	A0A3M6UEZ8_POCDA	unreviewed	pdam_00024087	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	533			RMX52195.1
A0A2B4RVT3	A0A2B4RVT3_STYPI	unreviewed	GPR133 AWC38_SpisGene13763	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	516	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX21721.1
A0A3M6UZZ0	A0A3M6UZZ0_POCDA	unreviewed	pdam_00023710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302			RMX58878.1
A0A3M6TTE0	A0A3M6TTE0_POCDA	unreviewed	pdam_00002772	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	743	chondroitin ABC lyase activity [GO:0047486]; glycosaminoglycan catabolic process [GO:0006027]	GO:0006027; GO:0047486	RMX44672.1
A0A2B4RBU6	A0A2B4RBU6_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene21200	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	1765	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX14626.1
A0A2B4RBI1	A0A2B4RBI1_STYPI	unreviewed	AWC38_SpisGene21703	Stylophora pistillata (Smooth cauliflower coral)	Apple domain-containing protein	456			PFX14163.1
A0A2B4RUQ1	A0A2B4RUQ1_STYPI	unreviewed	nphp3 AWC38_SpisGene14994	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1478			PFX20539.1
A0A2B4R7A5	A0A2B4R7A5_STYPI	unreviewed	AWC38_SpisGene23935	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	923			PFX12155.1
A0A3M6V0E0	A0A3M6V0E0_POCDA	unreviewed	pdam_00025713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	159			RMX59362.1
A0A3M6U016	A0A3M6U016_POCDA	unreviewed	pdam_00009588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	600			RMX47013.1
A0A2B4R9V2	A0A2B4R9V2_STYPI	unreviewed	Rtn4r AWC38_SpisGene22950	Stylophora pistillata (Smooth cauliflower coral)	Reticulon-4 receptor	361			PFX13012.1
A0A3M6TXJ1	A0A3M6TXJ1_POCDA	unreviewed	pdam_00009369	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	102			RMX46092.1
A0A3M6T843	A0A3M6T843_POCDA	unreviewed	pdam_00019640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	917	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX37542.1
A0A3M6V540	A0A3M6V540_POCDA	unreviewed	pdam_00014174	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1029			RMX61005.1
A0A3M6V948	A0A3M6V948_POCDA	unreviewed	pdam_00018290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	369	calcium ion binding [GO:0005509]	GO:0005509	RMX61398.1
A0A3M6UBW2	A0A3M6UBW2_POCDA	unreviewed	pdam_00015793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tyr recombinase domain-containing protein (Fragment)	359	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX51142.1
A0A2B4RX53	A0A2B4RX53_STYPI	unreviewed	Hrh4 AWC38_SpisGene14374	Stylophora pistillata (Smooth cauliflower coral)	Histamine H4 receptor	479	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX21140.1
A0A2B4RGZ3	A0A2B4RGZ3_STYPI	unreviewed	Mcm3ap AWC38_SpisGene20159	Stylophora pistillata (Smooth cauliflower coral)	Germinal-center associated nuclear protein	1738	nucleic acid binding [GO:0003676]	GO:0003676	PFX15617.1
A0A2B4RM28	A0A2B4RM28_STYPI	unreviewed	TTC28 AWC38_SpisGene17412	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	886			PFX18226.1
A0A3M6ULL9	A0A3M6ULL9_POCDA	unreviewed	pdam_00022219	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	157	integral component of membrane [GO:0016021]	GO:0016021	RMX54583.1
A0A2B4SGA6	A0A2B4SGA6_STYPI	unreviewed	chonabc AWC38_SpisGene7207	Stylophora pistillata (Smooth cauliflower coral)	Chondroitin sulfate ABC exolyase	3421	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chondroitin ABC lyase activity [GO:0047486]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	GO:0005576; GO:0005975; GO:0006027; GO:0030246; GO:0047486	PFX28093.1
A0A2B4RF47	A0A2B4RF47_STYPI	unreviewed	AWC38_SpisGene20919	Stylophora pistillata (Smooth cauliflower coral)	G-protein coupled receptor GRL101	581	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	PFX14892.1
A0A3M6TKG9	A0A3M6TKG9_POCDA	unreviewed	pdam_00019618	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	527	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX41859.1
A0A3M6TEZ3	A0A3M6TEZ3_POCDA	unreviewed	pdam_00025461	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	149			RMX39976.1
A0A2B4S441	A0A2B4S441_STYPI	unreviewed	pol AWC38_SpisGene11613	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	956	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX23819.1
A0A2B4R7H7	A0A2B4R7H7_STYPI	unreviewed	pif1 AWC38_SpisGene23898	Stylophora pistillata (Smooth cauliflower coral)	ATP-dependent DNA helicase (EC 3.6.4.12)	522	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	PFX12182.1
A0A3S1H9Q0	A0A3S1H9Q0_ELYCH	unreviewed	EGW08_017258	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	Reverse transcriptase domain-containing protein	579			RUS74991.1
A0A3M6TFU4	A0A3M6TFU4_POCDA	unreviewed	pdam_00016540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	524			RMX40218.1
A0A2B4RQJ3	A0A2B4RQJ3_STYPI	unreviewed	AWC38_SpisGene17099	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein (Fragment)	678			PFX18535.1
A0A3M6TY59	A0A3M6TY59_POCDA	unreviewed	pdam_00000684	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	345			RMX46332.1
A0A3M6UP03	A0A3M6UP03_POCDA	unreviewed	pdam_00021341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	699	plasma membrane [GO:0005886]; scavenger receptor activity [GO:0005044]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005044; GO:0005886; GO:0007155; GO:0007411	RMX55264.1
A0A3M6U5Q7	A0A3M6U5Q7_POCDA	unreviewed	pdam_00012977	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	461			RMX48864.1
A0A3M6UTF8	A0A3M6UTF8_POCDA	unreviewed	pdam_00021153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1799	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56920.1
A0A3M6UQG9	A0A3M6UQG9_POCDA	unreviewed	pdam_00006237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	464			RMX55892.1
A0A3M6U8Z4	A0A3M6U8Z4_POCDA	unreviewed	pdam_00025141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	873			RMX50150.1
A0A3M6UI80	A0A3M6UI80_POCDA	unreviewed	pdam_00025055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX53335.1
A0A3M6UAF8	A0A3M6UAF8_POCDA	unreviewed	pdam_00024182	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	380			RMX50519.1
A0A2B4SHT2	A0A2B4SHT2_STYPI	unreviewed	AWC38_SpisGene7287	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	833	integral component of membrane [GO:0016021]	GO:0016021	PFX28042.1
A0A2B4RGX1	A0A2B4RGX1_STYPI	unreviewed	AWC38_SpisGene19321	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	474			PFX16406.1
A0A3M6T7L6	A0A3M6T7L6_POCDA	unreviewed	pdam_00023732	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	412	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX37362.1
A0A2B4R6H9	A0A2B4R6H9_STYPI	unreviewed	AWC38_SpisGene23634	Stylophora pistillata (Smooth cauliflower coral)	CxC3 domain-containing protein	907			PFX12413.1
A0A3M6T6N3	A0A3M6T6N3_POCDA	unreviewed	pdam_00025941	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	462			RMX37076.1
A0A3M6TZN1	A0A3M6TZN1_POCDA	unreviewed	pdam_00015685	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	393			RMX46698.1
A0A3M6V3G2	A0A3M6V3G2_POCDA	unreviewed	pdam_00025758	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Reverse transcriptase domain-containing protein (Fragment)	412			RMX60400.1
A0A2B4SM90	A0A2B4SM90_STYPI	unreviewed	pol AWC38_SpisGene4989	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	1407	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX30229.1
A0A3M6TUS0	A0A3M6TUS0_POCDA	unreviewed	pdam_00022780	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	277			RMX45157.1
A7RNK4	A7RNK4_NEMVE	unreviewed	v1g232054	Nematostella vectensis (Starlet sea anemone)	Predicted protein	303	cytoplasm [GO:0005737]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; positive regulation of JNK cascade [GO:0046330]; protein K63-linked ubiquitination [GO:0070534]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	GO:0004842; GO:0005737; GO:0008270; GO:0033209; GO:0043122; GO:0046330; GO:0070534	EDO46941.1
A0A2B4R6G4	A0A2B4R6G4_STYPI	unreviewed	AWC38_SpisGene24016	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	735	integral component of membrane [GO:0016021]	GO:0016021	PFX12080.1
A0A2B4RF31	A0A2B4RF31_STYPI	unreviewed	Rnh1 AWC38_SpisGene20858	Stylophora pistillata (Smooth cauliflower coral)	Ribonuclease inhibitor (Fragment)	1097	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116; GO:0016021	PFX14957.1
A0A3M6UD58	A0A3M6UD58_POCDA	unreviewed	pdam_00020353	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	317			RMX51444.1
A0A2B4SE29	A0A2B4SE29_STYPI	unreviewed	ZNF595 AWC38_SpisGene7962	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 595	1460			PFX27349.1
A0A3M6TAV0	A0A3M6TAV0_POCDA	unreviewed	pdam_00025631	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein (Fragment)	218			RMX38459.1
A0A3M6TFP2	A0A3M6TFP2_POCDA	unreviewed	pdam_00023636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	235	nucleus [GO:0005634]; metal ion binding [GO:0046872]	GO:0005634; GO:0046872	RMX40161.1
A0A3M6TAH2	A0A3M6TAH2_POCDA	unreviewed	pdam_00016262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	186			RMX38436.1
A0A2B4R556	A0A2B4R556_STYPI	unreviewed	AWC38_SpisGene24163	Stylophora pistillata (Smooth cauliflower coral)	Beta/gamma crystallin 'Greek key' domain-containing protein	108			PFX11953.1
A0A081K971	A0A081K971_9GAMM	unreviewed	GV64_08045	Endozoicomonas elysicola	Uncharacterized protein	358	integral component of membrane [GO:0016021]	GO:0016021	KEI70697.1
A0A3M6U737	A0A3M6U737_POCDA	unreviewed	pdam_00022310	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	167			RMX49396.1
A0A2B4S351	A0A2B4S351_STYPI	unreviewed	ABCC4 AWC38_SpisGene12477	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	2705	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22998.1
A0A3M6UU99	A0A3M6UU99_POCDA	unreviewed	pdam_00022802	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NACHT domain-containing protein	908			RMX57220.1
A0A3M6T7W3	A0A3M6T7W3_POCDA	unreviewed	pdam_00026038	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	290			RMX37378.1
A0A3M6U214	A0A3M6U214_POCDA	unreviewed	pdam_00024037	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	135			RMX47589.1
A0A2B4R6Z1	A0A2B4R6Z1_STYPI	unreviewed	AWC38_SpisGene24109	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase domain-containing protein	511			PFX12002.1
A0A1D2X790	A0A1D2X790_9GAMM	unreviewed	arcA ACH42_14025	Endozoicomonas sp. (ex Bugula neritina AB1)	Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD)	407	cytoplasm [GO:0005737]; arginine deiminase activity [GO:0016990]; arginine catabolic process to ornithine [GO:0019547]	GO:0005737; GO:0016990; GO:0019547	OED41454.1
A0A2B4R6R6	A0A2B4R6R6_STYPI	unreviewed	AWC38_SpisGene23902	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	909	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	PFX12180.1
A0A2B4RNU9	A0A2B4RNU9_STYPI	unreviewed	POL AWC38_SpisGene17718	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	2154	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; DNA integration [GO:0015074]	GO:0003676; GO:0004714; GO:0005524; GO:0015074; GO:0016021; GO:0046872	PFX17945.1
A0A3M6TP18	A0A3M6TP18_POCDA	unreviewed	pdam_00023972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	422			RMX43153.1
A0A2B4RJQ7	A0A2B4RJQ7_STYPI	unreviewed	Gpsm1 AWC38_SpisGene19244	Stylophora pistillata (Smooth cauliflower coral)	G-protein-signaling modulator 1	756			PFX16485.1
A0A3M6U7F1	A0A3M6U7F1_POCDA	unreviewed	pdam_00025199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	245			RMX49585.1
A0A2B4SJC2	A0A2B4SJC2_STYPI	unreviewed	AWC38_SpisGene5756	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	731			PFX29456.1
A0A3M6TN29	A0A3M6TN29_POCDA	unreviewed	pdam_00014161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FZ domain-containing protein	163			RMX42749.1
A0A3M6UPH7	A0A3M6UPH7_POCDA	unreviewed	pdam_00022890	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289			RMX55521.1
A0A2B4RKR0	A0A2B4RKR0_STYPI	unreviewed	RTase AWC38_SpisGene17896	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	695	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX17766.1
A0A2B4SVM1	A0A2B4SVM1_STYPI	unreviewed	pol AWC38_SpisGene332	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	2230	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX34724.1
A0A3M6UXN2	A0A3M6UXN2_POCDA	unreviewed	pdam_00000179	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	216			RMX58284.1
A0A2B4RUE5	A0A2B4RUE5_STYPI	unreviewed	RTase AWC38_SpisGene13421	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	808	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX22074.1
A0A2B4RL94	A0A2B4RL94_STYPI	unreviewed	AWC38_SpisGene18405 AWC38_SpisGene18406	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	400			PFX17267.1
A0A3M6TJX4	A0A3M6TJX4_POCDA	unreviewed	pdam_00025262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CHAT domain-containing protein	315			RMX41717.1
A0A2B4S000	A0A2B4S000_STYPI	unreviewed	AWC38_SpisGene13681	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	400			PFX21822.1
A0A2B4SL27	A0A2B4SL27_STYPI	unreviewed	AWC38_SpisGene5161	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	456			PFX30076.1
A0A3M6TU31	A0A3M6TU31_POCDA	unreviewed	pdam_00020661	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Reverse transcriptase domain-containing protein	345			RMX44920.1
A0A2B4SIL5	A0A2B4SIL5_STYPI	unreviewed	K02A2.6 AWC38_SpisGene6918	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	615			PFX28322.1
A0A3M6U099	A0A3M6U099_POCDA	unreviewed	pdam_00025229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	316	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX47056.1
A0A081KD75	A0A081KD75_9GAMM	unreviewed	GV64_16420	Endozoicomonas elysicola	Alpha-L-glutamate ligase	316	ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]	GO:0005524; GO:0016874; GO:0046872	KEI72101.1
A0A2B4SKI9	A0A2B4SKI9_STYPI	unreviewed	jockey\pol AWC38_SpisGene5661	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	2099	nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0008270; GO:0015074	PFX29603.1
A0A2B4RNA0	A0A2B4RNA0_STYPI	unreviewed	THAP8 AWC38_SpisGene17909	Stylophora pistillata (Smooth cauliflower coral)	THAP domain-containing protein 8	607	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872	PFX17745.1
A0A2B4RHZ0	A0A2B4RHZ0_STYPI	unreviewed	K02A2.6 AWC38_SpisGene19647	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	962	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX16100.1
A0A3M6UGS8	A0A3M6UGS8_POCDA	unreviewed	pdam_00019401	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	102			RMX52588.1
A0A3M6TAK4	A0A3M6TAK4_POCDA	unreviewed	pdam_00016794	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	997			RMX38466.1
A0A2B4R7G6	A0A2B4R7G6_STYPI	unreviewed	AWC38_SpisGene23867	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	345			PFX12215.1
A0A2B4SP03	A0A2B4SP03_STYPI	unreviewed	POL AWC38_SpisGene4911	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	523	nucleic acid binding [GO:0003676]	GO:0003676	PFX30308.1
A0A2B4SXF7	A0A2B4SXF7_STYPI	unreviewed	AWC38_SpisGene1248	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1511	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX33793.1
A0A2B4S4A7	A0A2B4S4A7_STYPI	unreviewed	AWC38_SpisGene12044	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1099			PFX23427.1
A0A3M6T618	A0A3M6T618_POCDA	unreviewed	pdam_00025504	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CCHC-type domain-containing protein (Fragment)	944	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX36733.1
A0A3M6T495	A0A3M6T495_POCDA	unreviewed	pdam_00025752	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	294			RMX34493.1
A0A3M6TTE8	A0A3M6TTE8_POCDA	unreviewed	pdam_00002773	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	789	carbohydrate binding [GO:0030246]; chondroitin ABC lyase activity [GO:0047486]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	GO:0005975; GO:0006027; GO:0030246; GO:0047486	RMX44673.1
A0A3M6TTW1	A0A3M6TTW1_POCDA	unreviewed	pdam_00009266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	253			RMX44843.1
A0A3M6U911	A0A3M6U911_POCDA	unreviewed	pdam_00004821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	656	integral component of membrane [GO:0016021]	GO:0016021	RMX50170.1
A0A2B4RQ39	A0A2B4RQ39_STYPI	unreviewed	harbi1 AWC38_SpisGene16686	Stylophora pistillata (Smooth cauliflower coral)	Harbinger transposase-derived nuclease (Putative nuclease HARBI1)	293	cytoplasm [GO:0005737]; nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0005634; GO:0005737; GO:0016787; GO:0046872	PFX18923.1
A0A3M6U6B5	A0A3M6U6B5_POCDA	unreviewed	pdam_00003930	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	355			RMX49099.1
