Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442E97
A0A3M6U9P4	A0A3M6U9P4_POCDA	unreviewed	pdam_00006927	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	406	calcium ion binding [GO:0005509]	GO:0005509	RMX50321.1
A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	PFX16501.1
A0A3M6UC29	A0A3M6UC29_POCDA	unreviewed	pdam_00004047	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	663	cysteine-type endopeptidase activity [GO:0004197]; regulation of apoptotic process [GO:0042981]	GO:0004197; GO:0042981	RMX51233.1
A0A3M6UBZ8	A0A3M6UBZ8_POCDA	unreviewed	pdam_00004051	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1058	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156; GO:0016021	RMX51171.1
A0A3M6UBY8	A0A3M6UBY8_POCDA	unreviewed	pdam_00004055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	114			RMX51175.1
A0A2B4RG49	A0A2B4RG49_STYPI	unreviewed	AWC38_SpisGene19594	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1599	integral component of membrane [GO:0016021]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0008168; GO:0016021; GO:0016706	PFX16146.1
A0A3M6UID3	A0A3M6UID3_POCDA	unreviewed	pdam_00015246	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	546	integral component of membrane [GO:0016021]	GO:0016021	RMX53284.1
A0A2B4SAB7	A0A2B4SAB7_STYPI	unreviewed	Nlrc4 AWC38_SpisGene9895	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1400			PFX25472.1
A0A3M6UKH0	A0A3M6UKH0_POCDA	unreviewed	pdam_00012137	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	482	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX54171.1
A0A2B4RV16	A0A2B4RV16_STYPI	unreviewed	Npffr2 AWC38_SpisGene15491	Stylophora pistillata (Smooth cauliflower coral)	Neuropeptide FF receptor 2	700	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX20072.1
A0A3M6UKJ2	A0A3M6UKJ2_POCDA	unreviewed	pdam_00012132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1598	ADP binding [GO:0043531]	GO:0043531	RMX54176.1
A0A3M6ULB1	A0A3M6ULB1_POCDA	unreviewed	pdam_00012126	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	424	integral component of membrane [GO:0016021]	GO:0016021	RMX54158.1
A0A3M6U209	A0A3M6U209_POCDA	unreviewed	pdam_00002102	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	705			RMX47528.1
A0A3M6U567	A0A3M6U567_POCDA	unreviewed	pdam_00001563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1270	integral component of membrane [GO:0016021]	GO:0016021	RMX48832.1
A0A2B4SWA1	A0A2B4SWA1_STYPI	unreviewed	CUL5 AWC38_SpisGene1039	Stylophora pistillata (Smooth cauliflower coral)	Cullin-5	1474	oxidoreductase activity [GO:0016491]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0016491; GO:0031625	PFX34171.1
A0A3M6U525	A0A3M6U525_POCDA	unreviewed	pdam_00001549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	439			RMX48795.1
A0A2B4R5H2	A0A2B4R5H2_STYPI	unreviewed	K02A2.6 AWC38_SpisGene22308	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	1488	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270; GO:0046983	PFX13594.1
A0A2B4R8B0	A0A2B4R8B0_STYPI	unreviewed	nlrc4 AWC38_SpisGene22887	Stylophora pistillata (Smooth cauliflower coral)	NLR family CARD domain-containing protein 4	1441			PFX13063.1
A0A3M6U9Y4	A0A3M6U9Y4_POCDA	unreviewed	pdam_00010449	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Pentaxin (Pentraxin)	201	extracellular region [GO:0005576]; metal ion binding [GO:0046872]	GO:0005576; GO:0046872	RMX50421.1
A0A3R7XUZ4	A0A3R7XUZ4_9STRA	unreviewed	DD237_003717	Peronospora effusa	Uncharacterized protein	347	GTP binding [GO:0005525]	GO:0005525	RQM14326.1
A0A3M6TBG2	A0A3M6TBG2_POCDA	unreviewed	pdam_00012455	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF4062 domain-containing protein	1190			RMX38720.1
A0A3M6TBG1	A0A3M6TBG1_POCDA	unreviewed	pdam_00012457	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	477	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX38722.1
A0A3M6TBH0	A0A3M6TBH0_POCDA	unreviewed	pdam_00012462	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	60S ribosomal protein L29	62	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	RMX38732.1
A0A3M6TB02	A0A3M6TB02_POCDA	unreviewed	pdam_00016778	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	343			RMX38468.1
A0A3M6UPP3	A0A3M6UPP3_POCDA	unreviewed	pdam_00001753	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	VWFC domain-containing protein	423			RMX55595.1
A0A3M6UPK7	A0A3M6UPK7_POCDA	unreviewed	pdam_00001745	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	672	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	GO:0016021; GO:0055085	RMX55551.1
A0A3M6UPT3	A0A3M6UPT3_POCDA	unreviewed	pdam_00001738	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	722	hydrolase activity [GO:0016787]	GO:0016787	RMX55621.1
A0A3M6UPM1	A0A3M6UPM1_POCDA	unreviewed	pdam_00001731	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RHD domain-containing protein	672	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634	RMX55626.1
A0A2B4S153	A0A2B4S153_STYPI	unreviewed	serinc AWC38_SpisGene13204	Stylophora pistillata (Smooth cauliflower coral)	Putative serine incorporator	1237	integral component of membrane [GO:0016021]	GO:0016021	PFX22297.1
A0A3M6UPK9	A0A3M6UPK9_POCDA	unreviewed	pdam_00001725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	3138	NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950	RMX55570.1
A0A3M6UPP8	A0A3M6UPP8_POCDA	unreviewed	pdam_00001724	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-) (Fragment)	2183	NAD+ ADP-ribosyltransferase activity [GO:0003950]; RNA binding [GO:0003723]	GO:0003723; GO:0003950	RMX55569.1
A0A2B4S3A5	A0A2B4S3A5_STYPI	unreviewed	FCN1 AWC38_SpisGene12489	Stylophora pistillata (Smooth cauliflower coral)	Ficolin-1	1513			PFX22965.1
A0A2B4REC2	A0A2B4REC2_STYPI	unreviewed	TY3B-I AWC38_SpisGene21137	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-I Gag-Pol polyprotein	1375	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074	PFX14687.1
A0A3M6UWF2	A0A3M6UWF2_POCDA	unreviewed	pdam_00004989	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1244	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX57668.1
A0A3M6UVF7	A0A3M6UVF7_POCDA	unreviewed	pdam_00004987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein MGR2 homolog (Reactive oxygen species modulator 1)	73	integral component of membrane [GO:0016021]	GO:0016021	RMX57676.1
A0A2B4RNG8	A0A2B4RNG8_STYPI	unreviewed	Mfsd10 AWC38_SpisGene17833	Stylophora pistillata (Smooth cauliflower coral)	Major facilitator superfamily domain-containing protein 10	995	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX17815.1
A0A2B4RY76	A0A2B4RY76_STYPI	unreviewed	Rnf213 AWC38_SpisGene14315	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase RNF213	5388	ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016887	PFX21202.1
A0A3M6TLI7	A0A3M6TLI7_POCDA	unreviewed	pdam_00025669	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	493			RMX42220.1
A0A2B4RFI5	A0A2B4RFI5_STYPI	unreviewed	RNF213 AWC38_SpisGene20220	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase RNF213	4915	ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016887	PFX15559.1
A0A3M6U8G8	A0A3M6U8G8_POCDA	unreviewed	pdam_00013932	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1161			RMX49963.1
A0A3M6U8W4	A0A3M6U8W4_POCDA	unreviewed	pdam_00013934	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ATP-grasp domain-containing protein	417	ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0005524; GO:0046872	RMX49964.1
A0A3M6U8F6	A0A3M6U8F6_POCDA	unreviewed	pdam_00013940	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2514	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0030246	RMX49953.1
A0A3M6U8F5	A0A3M6U8F5_POCDA	unreviewed	pdam_00013942	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1345	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021	RMX49955.1
A0A2B4SEK9	A0A2B4SEK9_STYPI	unreviewed	AWC38_SpisGene6179	Stylophora pistillata (Smooth cauliflower coral)	Brings lots of money 7 (KH homology domain-containing protein 4) (Fragment)	3211	nucleus [GO:0005634]; RNA binding [GO:0003723]	GO:0003723; GO:0005634	PFX29114.1
A0A2B4RBS3	A0A2B4RBS3_STYPI	unreviewed	mesh AWC38_SpisGene21228	Stylophora pistillata (Smooth cauliflower coral)	Protein mesh	2753	integral component of membrane [GO:0016021]; cell-matrix adhesion [GO:0007160]	GO:0007160; GO:0016021	PFX14596.1
A0A3M6U8C9	A0A3M6U8C9_POCDA	unreviewed	pdam_00017294	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	NIDO domain-containing protein	393	cell-matrix adhesion [GO:0007160]	GO:0007160	RMX49925.1
A0A3M6UV16	A0A3M6UV16_POCDA	unreviewed	pdam_00005773	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	102			RMX57502.1
A0A3M6UV50	A0A3M6UV50_POCDA	unreviewed	pdam_00005766	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	92			RMX57505.1
A0A3M6UV43	A0A3M6UV43_POCDA	unreviewed	pdam_00005748	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	72			RMX57541.1
A0A3M6UVA2	A0A3M6UVA2_POCDA	unreviewed	pdam_00005744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	380			RMX57565.1
A0A3M6TML7	A0A3M6TML7_POCDA	unreviewed	pdam_00024905	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F2_4 domain-containing protein	158	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX42504.1
A0A2B4RCD5	A0A2B4RCD5_STYPI	unreviewed	GPR133 AWC38_SpisGene21926	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	619	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX13955.1
A0A3M6V6I0	A0A3M6V6I0_POCDA	unreviewed	pdam_00020428	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	139	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX61573.1
A0A3M6TRJ9	A0A3M6TRJ9_POCDA	unreviewed	pdam_00024315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	540	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX43966.1
A0A3M6TPL6	A0A3M6TPL6_POCDA	unreviewed	pdam_00021511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	850	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX43342.1
A0A3M6TIC9	A0A3M6TIC9_POCDA	unreviewed	pdam_00003240	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	352	integral component of membrane [GO:0016021]	GO:0016021	RMX41091.1
A0A3M6UAQ9	A0A3M6UAQ9_POCDA	unreviewed	pdam_00017151	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1268	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX50666.1
A0A3M6UAS2	A0A3M6UAS2_POCDA	unreviewed	pdam_00017146	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FAD-binding PCMH-type domain-containing protein (Fragment)	488	membrane [GO:0016020]; D-arabinono-1,4-lactone oxidase activity [GO:0003885]; FAD binding [GO:0071949]	GO:0003885; GO:0016020; GO:0071949	RMX50649.1
A0A3M6UI00	A0A3M6UI00_POCDA	unreviewed	pdam_00025479	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	316			RMX53189.1
A0A2B4RRH7	A0A2B4RRH7_STYPI	unreviewed	GPR133 AWC38_SpisGene16747	Stylophora pistillata (Smooth cauliflower coral)	Putative G-protein coupled receptor 133	811	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	PFX18865.1
A0A3M6U6N9	A0A3M6U6N9_POCDA	unreviewed	pdam_00005867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	600			RMX49194.1
A0A3M6UIW8	A0A3M6UIW8_POCDA	unreviewed	pdam_00004358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1090	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX53575.1
A0A3M6UJP2	A0A3M6UJP2_POCDA	unreviewed	pdam_00004362	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	832	integral component of membrane [GO:0016021]	GO:0016021	RMX53588.1
A0A3M6UIW3	A0A3M6UIW3_POCDA	unreviewed	pdam_00004363	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	637	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	RMX53587.1
A0A3M6UIU5	A0A3M6UIU5_POCDA	unreviewed	pdam_00004364	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1778			RMX53590.1
A0A3M6UJ94	A0A3M6UJ94_POCDA	unreviewed	pdam_00004368	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SANT domain-containing protein	691			RMX53594.1
A0A3M6UCV9	A0A3M6UCV9_POCDA	unreviewed	pdam_00010304	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	60S ribosomal protein L14	126	ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005840; GO:0006412	RMX51520.1
A0A3M6UD83	A0A3M6UD83_POCDA	unreviewed	pdam_00010308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	CYTH domain-containing protein	238	thiamin-triphosphatase activity [GO:0050333]	GO:0050333	RMX51526.1
A0A3M6UDA2	A0A3M6UDA2_POCDA	unreviewed	pdam_00010310	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	611			RMX51546.1
A0A3M6UD06	A0A3M6UD06_POCDA	unreviewed	pdam_00010314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	683	integral component of membrane [GO:0016021]	GO:0016021	RMX51542.1
A0A3M6UCX7	A0A3M6UCX7_POCDA	unreviewed	pdam_00010317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	198	integral component of membrane [GO:0016021]	GO:0016021	RMX51543.1
A0A3M6UD10	A0A3M6UD10_POCDA	unreviewed	pdam_00010315	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	416	integral component of membrane [GO:0016021]	GO:0016021	RMX51541.1
A0A2B4S3H3	A0A2B4S3H3_STYPI	unreviewed	adrb1 AWC38_SpisGene12460	Stylophora pistillata (Smooth cauliflower coral)	Beta-1 adrenergic receptor	457	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX23025.1
A0A3M6TPD0	A0A3M6TPD0_POCDA	unreviewed	pdam_00014566	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	zf-CCHC_6 domain-containing protein	224	RNA splicing [GO:0008380]	GO:0008380	RMX43240.1
A0A3M6TPF6	A0A3M6TPF6_POCDA	unreviewed	pdam_00014562	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	651	integral component of membrane [GO:0016021]	GO:0016021	RMX43236.1
A0A3M6TBV3	A0A3M6TBV3_POCDA	unreviewed	pdam_00018045	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1106	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0031012	RMX38862.1
A0A3M6TC21	A0A3M6TC21_POCDA	unreviewed	pdam_00018041	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1685	extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0016021; GO:0031012	RMX38858.1
A0A3M6TC25	A0A3M6TC25_POCDA	unreviewed	pdam_00018040	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1674	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270; GO:0031012	RMX38859.1
A0A3M6V374	A0A3M6V374_POCDA	unreviewed	pdam_00018795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	70			RMX60310.1
A0A3M6V312	A0A3M6V312_POCDA	unreviewed	pdam_00018797	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	110			RMX60321.1
A0A3M6U5L9	A0A3M6U5L9_POCDA	unreviewed	pdam_00008303	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	565			RMX48983.1
A0A3M6U5N1	A0A3M6U5N1_POCDA	unreviewed	pdam_00008299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	776			RMX48970.1
A0A3M6U5L0	A0A3M6U5L0_POCDA	unreviewed	pdam_00008293	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	812			RMX48973.1
A0A3M6U5Y5	A0A3M6U5Y5_POCDA	unreviewed	pdam_00008288	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	557	integral component of membrane [GO:0016021]	GO:0016021	RMX48944.1
A0A3M6U5S3	A0A3M6U5S3_POCDA	unreviewed	pdam_00008286	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1483	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	RMX48946.1
A0A2B4SGX8	A0A2B4SGX8_STYPI	unreviewed	AWC38_SpisGene6919	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	2079	signal transduction [GO:0007165]	GO:0007165	PFX28323.1
A0A3M6V235	A0A3M6V235_POCDA	unreviewed	pdam_00023486	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1508			RMX59869.1
A0A2B4S459	A0A2B4S459_STYPI	unreviewed	Slc16a2 AWC38_SpisGene11863	Stylophora pistillata (Smooth cauliflower coral)	Monocarboxylate transporter 8	491	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX23570.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A3M6V5P6	A0A3M6V5P6_POCDA	unreviewed	pdam_00020936	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	406			RMX61303.1
A0A2B4R604	A0A2B4R604_STYPI	unreviewed	Lrrc3 AWC38_SpisGene24455	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 3 (Fragment)	295			PFX11715.1
A0A3M6UZZ0	A0A3M6UZZ0_POCDA	unreviewed	pdam_00023710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302			RMX58878.1
A0A3M6T708	A0A3M6T708_POCDA	unreviewed	pdam_00023299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1334	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	RMX37142.1
A0A3M6TU06	A0A3M6TU06_POCDA	unreviewed	pdam_00012561	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	1739	integral component of membrane [GO:0016021]	GO:0016021	RMX44890.1
A0A3M6UWU6	A0A3M6UWU6_POCDA	unreviewed	pdam_00000168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	WD_REPEATS_REGION domain-containing protein	351	signal transduction [GO:0007165]	GO:0007165	RMX58142.1
A0A3M6UL45	A0A3M6UL45_POCDA	unreviewed	pdam_00018405	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	684	ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016887	RMX54355.1
A0A3M6T794	A0A3M6T794_POCDA	unreviewed	pdam_00022622	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	GRANULINS domain-containing protein	1387			RMX37286.1
A0A2B4SE66	A0A2B4SE66_STYPI	unreviewed	rag1 AWC38_SpisGene7923	Stylophora pistillata (Smooth cauliflower coral)	V(D)J recombination activating protein 1	427	metal ion binding [GO:0046872]	GO:0046872	PFX27379.1
A0A3M6TG96	A0A3M6TG96_POCDA	unreviewed	pdam_00014336	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	164			RMX40234.1
A0A3M6TGA7	A0A3M6TGA7_POCDA	unreviewed	pdam_00014352	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	261			RMX40254.1
A0A3M6TFR8	A0A3M6TFR8_POCDA	unreviewed	pdam_00014355	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	550	integral component of membrane [GO:0016021]	GO:0016021	RMX40247.1
A0A3M6TFY3	A0A3M6TFY3_POCDA	unreviewed	pdam_00014351	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	419	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX40251.1
A0A3M6TG88	A0A3M6TG88_POCDA	unreviewed	pdam_00014347	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	244			RMX40224.1
A0A3M6TFP7	A0A3M6TFP7_POCDA	unreviewed	pdam_00014342	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UPA domain-containing protein (Fragment)	305			RMX40227.1
A0A3M6T6P9	A0A3M6T6P9_POCDA	unreviewed	pdam_00005091	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBX domain-containing protein	295	integral component of membrane [GO:0016021]	GO:0016021	RMX36973.1
A0A3M6T6F0	A0A3M6T6F0_POCDA	unreviewed	pdam_00005088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	808			RMX37005.1
A0A3M6UFE4	A0A3M6UFE4_POCDA	unreviewed	pdam_00019567	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hydrolase_4 domain-containing protein	388	hydrolase activity [GO:0016787]	GO:0016787	RMX52407.1
